Time	Total	Dispersed	Machine_Used
Descirption: Network-aware, original,threshold = 0.99; recon_threshold = 0.95;600	0	0	0
1200	0	0	0
1800	0	0	0
2400	0	0	0
3000	0	0	0
3600	0	0	0
4200	2	0	6
4800	7	0	38
5400	99	0	194
6000	134	0	264
6600	120	0	264
7200	112	0	270
7800	120	0	311
8400	119	0	316
9000	120	0	310
9600	142	0	323
10200	142	0	322
10800	203	0	376
11400	272	10	422
12000	205	3	383
12600	260	3	424
13200	255	7	435
13800	234	11	451
14400	392	18	542
15000	403	20	579
15600	354	25	570
16200	490	23	662
16800	468	29	670
17400	477	34	688
18000	711	31	754
18600	543	31	787
19200	462	26	721
19800	415	28	703
20400	404	36	700
21000	414	46	726
21600	533	45	772
22200	433	48	742
22800	442	53	745
23400	594	54	826
24000	592	54	835
24600	638	56	842
25200	619	57	839
25800	583	62	841
26400	660	61	894
27000	623	63	892
27600	588	61	879
28200	653	66	899
28800	674	59	881
29400	639	57	848
30000	670	58	813
30600	589	54	793
31200	544	47	770
31800	514	41	744
32400	481	38	723
33000	450	37	709
33600	425	36	681
34200	403	32	659
34800	391	31	645
35400	392	29	619
36000	380	27	597
36600	450	26	589
37200	703	23	559
37800	667	24	555
38400	643	23	554
39000	639	23	553
39600	552	23	553
40200	675	31	604
40800	621	44	635
41400	753	82	1142
42000	840	82	1248
42600	970	84	1266
43200	1374	81	1395
43800	1422	85	1486
44400	1390	83	1507
45000	1271	62	1323
45600	1104	102	1296
46200	915	75	1220
46800	763	60	976
47400	820	72	1068
48000	704	51	982
48600	635	41	901
49200	628	38	856
49800	629	61	873
50400	524	33	815
51000	497	31	793
51600	477	30	771
52200	468	30	758
52800	455	30	739
53400	438	29	719
54000	422	29	703
54600	405	27	674
55200	420	31	647
55800	440	29	625
56400	461	39	638
57000	470	54	648
57600	499	53	699
58200	479	48	635
58800	463	50	611
59400	522	35	606
60000	565	66	766
60600	535	62	720
61200	604	61	764
61800	599	73	839
62400	565	71	793
63000	538	57	707
63600	544	49	675
64200	545	62	710
64800	607	64	699
65400	522	51	668
66000	504	42	659
66600	558	65	794
67200	641	59	807
67800	533	56	758
68400	514	55	743
69000	491	52	730
69600	488	49	726
70200	494	54	720
70800	491	58	723
71400	550	58	809
72000	561	64	862
72600	558	60	861
73200	574	63	860
73800	588	63	868
74400	575	57	845
75000	666	62	874
75600	649	63	882
76200	709	70	929
76800	731	73	943
77400	738	71	955
78000	762	77	975
78600	791	79	1036
79200	849	81	1128
79800	802	81	1087
80400	844	111	1245
81000	867	115	1281
81600	873	94	1208
82200	844	99	1167
82800	804	81	1073
83400	835	101	1131
84000	748	71	1088
84600	838	68	1047
85200	771	72	1040
85800	878	68	1062
86400	988	77	1283
87000	975	68	1132
87600	951	87	1183
88200	919	96	1242
88800	821	78	1148
89400	762	75	1112
90000	747	72	1094
90600	753	73	1087
91200	792	74	1084
91800	763	75	1077
92400	725	75	1072
93000	730	74	1061
93600	744	71	1057
94200	762	73	1049
94800	768	70	1048
95400	811	84	1059
96000	911	78	1138
96600	830	86	1119
97200	858	85	1106
97800	845	80	1090
98400	761	80	1069
99000	760	82	1085
99600	803	78	1069
100200	823	76	1065
100800	803	70	1059
101400	746	69	1050
102000	718	70	1044
102600	755	67	1031
103200	780	72	1029
103800	741	69	1026
104400	720	64	1016
105000	743	61	1012
105600	713	61	1010
106200	672	58	1004
106800	624	56	990
107400	693	56	982
108000	672	57	969
108600	719	62	967
109200	729	60	962
109800	640	56	954
110400	630	55	943
111000	689	53	930
111600	721	52	925
112200	683	55	923
112800	674	54	920
113400	784	59	971
114000	815	55	999
114600	974	59	1056
115200	1011	60	1084
115800	1088	99	1264
116400	1041	106	1222
117000	1014	91	1199
117600	997	83	1190
118200	996	83	1179
118800	991	92	1173
119400	998	84	1165
120000	953	84	1160
120600	941	84	1156
121200	983	83	1140
121800	1005	85	1138
122400	1147	81	1168
123000	1322	79	1215
123600	1380	73	1202
124200	1348	85	1214
124800	1216	89	1227
125400	1369	91	1285
126000	1564	86	1370
126600	1533	100	1471
127200	1552	112	1598
127800	1477	120	1597
128400	1383	117	1623
129000	1394	147	1595
129600	1327	165	1606
130200	1302	162	1596
130800	1395	172	1718
131400	1363	175	1679
132000	1468	178	1752
132600	1441	159	1752
133200	1407	140	1690
133800	1324	138	1671
134400	1299	120	1586
135000	1301	113	1555
135600	1296	125	1540
136200	1248	126	1481
136800	1215	125	1473
137400	1245	145	1500
138000	1206	143	1512
138600	1245	145	1520
139200	1132	136	1508
139800	1079	107	1469
140400	1088	97	1445
141000	1014	84	1384
141600	958	69	1327
142200	921	61	1280
142800	867	51	1219
143400	876	44	1183
144000	871	33	1163
144600	875	33	1151
145200	884	34	1140
145800	1046	35	1132
146400	1108	45	1165
147000	1046	58	1171
147600	1078	66	1259
148200	1059	67	1264
148800	1046	77	1276
149400	1074	83	1344
150000	1057	81	1362
150600	1036	81	1338
151200	1027	91	1357
151800	1007	101	1374
152400	978	97	1365
153000	950	89	1324
153600	901	85	1302
154200	938	107	1304
154800	913	99	1322
155400	879	85	1292
156000	994	102	1366
156600	984	97	1389
157200	980	111	1377
157800	1046	103	1414
158400	1064	94	1429
159000	1008	79	1378
159600	1124	71	1361
160200	1176	80	1395
160800	1121	92	1448
161400	1200	90	1489
162000	1258	86	1526
162600	1280	90	1537
163200	1292	85	1522
163800	1187	82	1505
164400	1043	72	1485
165000	950	66	1442
165600	841	63	1404
166200	759	60	1359
166800	676	57	1303
167400	623	52	1262
168000	748	48	1215
168600	762	43	1171
169200	746	41	1155
169800	830	37	1103
170400	815	35	1072
171000	782	34	1060
171600	856	32	1049
172200	798	32	1040
172800	758	31	1025
173400	827	31	1014
174000	820	31	1005
174600	842	33	989
175200	843	33	978
175800	819	32	971
176400	792	36	963
177000	818	48	1004
177600	797	41	978
178200	791	46	977
178800	782	53	980
179400	789	51	1008
180000	887	55	1024
180600	971	56	1098
181200	1004	58	1101
181800	991	59	1110
182400	985	61	1123
183000	956	65	1114
183600	971	59	1113
184200	941	57	1107
184800	876	54	1090
185400	864	51	1076
186000	830	48	1068
186600	804	48	1059
187200	798	47	1046
187800	740	42	1020
188400	670	40	1001
189000	610	39	976
189600	564	34	952
190200	528	32	934
190800	491	31	911
191400	465	31	867
192000	528	30	841
192600	620	29	827
193200	664	28	823
193800	651	28	816
194400	646	25	811
195000	636	23	805
195600	689	21	790
196200	725	39	896
196800	762	51	920
197400	891	59	1050
198000	847	60	1041
198600	814	51	1014
199200	842	61	1013
199800	762	70	974
200400	684	47	954
201000	639	49	933
201600	620	49	920
202200	663	66	928
202800	643	65	961
203400	644	45	927
204000	602	52	920
204600	602	46	905
205200	658	47	892
205800	644	55	924
206400	748	58	1051
207000	722	59	1015
207600	696	56	1002
208200	701	59	990
208800	743	56	976
209400	729	54	955
210000	717	58	946
210600	709	52	938
211200	731	50	932
211800	661	46	925
212400	620	43	916
213000	538	35	888
213600	481	32	856
214200	448	30	835
214800	427	29	822
215400	413	29	809
216000	435	29	795
216600	473	28	785
217200	527	27	781
217800	505	27	780
218400	556	32	780
219000	602	31	767
219600	573	31	756
220200	553	31	754
220800	588	32	760
221400	572	31	762
222000	559	31	762
222600	564	34	743
223200	567	37	737
223800	545	33	735
224400	461	30	725
225000	417	27	697
225600	442	23	659
226200	385	21	646
226800	344	21	620
227400	332	20	607
228000	319	18	573
228600	363	18	563
229200	360	18	562
229800	346	16	546
230400	393	27	543
231000	417	27	572
231600	395	25	571
232200	528	30	767
232800	504	45	795
233400	511	45	781
234000	525	59	791
234600	482	46	743
235200	528	50	729
235800	592	63	937
236400	555	68	916
237000	523	64	875
237600	504	60	842
238200	501	46	809
238800	529	54	838
239400	537	58	885
240000	566	63	953
240600	607	66	962
241200	627	73	994
241800	630	73	986
242400	660	72	985
243000	626	78	999
243600	646	75	988
244200	716	80	1036
244800	706	79	1016
245400	703	82	1051
246000	739	82	1117
246600	783	86	1144
247200	793	90	1178
247800	757	85	1155
248400	702	81	1146
249000	641	75	1116
249600	597	72	1085
250200	545	64	1033
250800	520	59	1005
251400	510	54	988
252000	492	50	960
252600	542	48	944
253200	578	47	933
253800	578	46	920
254400	622	48	905
255000	614	55	906
255600	599	53	901
256200	696	59	1002
256800	701	59	986
257400	748	64	1033
258000	765	71	1060
258600	754	66	1052
259200	840	72	1130
259800	775	68	1069
260400	699	66	1051
261000	642	61	1033
261600	588	58	1003
262200	554	55	970
262800	528	52	935
263400	511	50	920
264000	492	47	901
264600	452	41	854
265200	426	35	807
265800	406	33	792
266400	397	33	778
267000	381	30	757
267600	367	30	728
268200	355	29	699
268800	350	29	691
269400	337	29	682
270000	330	28	665
270600	324	28	661
271200	314	28	642
271800	305	28	633
272400	288	26	609
273000	278	26	587
273600	261	26	567
274200	238	26	527
274800	227	24	499
275400	217	24	480
276000	201	17	433
276600	188	15	407
277200	180	13	386
277800	164	9	344
278400	152	8	317
279000	139	1	266
279600	129	1	248
280200	128	1	244
280800	126	1	242
281400	123	1	238
282000	116	1	228
282600	114	1	223
283200	113	1	223
283800	108	1	218
284400	98	1	201
285000	90	1	185
285600	84	1	176
286200	78	1	169
286800	72	1	149
287400	65	1	135
288000	62	1	127
288600	59	0	118
289200	49	0	99
289800	48	0	97
290400	47	0	95
291000	46	0	94
291600	45	0	92
292200	43	0	89
