Time	Current
Descirption: First-fit,greedy-recon/60s,threshold = 0.99; recon_threshold = 0.95;600	0	0.0
1200	0	0.0
1800	0	0.0
2400	0	0.0
3000	0	0.0
3600	0	0.0
4200	2	2.0
4800	7	6.798974358974359
5400	99	90.71836243694997
6000	134	124.84027766125011
6600	120	110.6266978579797
7200	112	101.70609936583854
7800	120	108.62725635120269
8400	119	106.75412933091542
9000	120	106.23000448353972
9600	142	127.1788323190623
10200	142	126.80696153295678
10800	203	181.57496033067966
11400	272	244.589944722722
12000	205	191.37943232278903
12600	260	234.90239641313602
13200	255	232.7417284610794
13800	234	214.38440867163789
14400	392	352.1382276756017
15000	403	373.117471644299
15600	354	324.71132540920604
16200	490	443.27559941057774
16800	468	426.17553232451576
17400	477	434.06906005843996
18000	711	636.119910451586
18600	543	511.0817619321695
19200	462	431.56475010852034
19800	415	382.72186967618586
20400	404	369.9798600191658
21000	414	375.30198087239546
21600	533	496.08315855950747
22200	433	396.52309917147693
22800	442	397.2524036896366
23400	594	541.1640127003685
24000	592	548.0491404891609
24600	638	589.2027127167535
25200	619	573.746799748716
25800	583	533.5008262180675
26400	660	603.3125345871033
27000	623	575.3089349732991
27600	588	542.3953676427487
28200	653	599.1970420295188
28800	674	631.3306471004557
29400	639	599.0410695278405
30000	670	623.094087675832
30600	589	556.1105731192266
31200	544	522.2222246977321
31800	514	498.23213468679427
32400	481	466.37227165492925
33000	450	437.11323961997465
33600	425	415.4461724398181
34200	403	397.01960245149485
34800	391	385.01960245149485
35400	392	384.7304671108939
36000	380	375.5730233571414
36600	450	444.1522090682033
37200	703	694.9883384041817
37800	667	659.8717820698729
38400	643	637.918925185381
39000	639	632.5797959127921
39600	552	545.2011332558841
40200	675	657.7698571964404
40800	621	597.0914476630985
41400	753	695.2065333907319
42000	840	770.14362475893
42600	970	903.7124515421691
43200	1374	1308.801528821389
43800	1422	1360.9660986903577
44400	1390	1331.9911092884638
45000	1271	1235.2014852385578
