Time	Current
Descirption: First-fit,original,threshold = 0.99; recon_threshold = 0.95;600	0	0.0
1200	0	0.0
1800	0	0.0
2400	0	0.0
3000	0	0.0
3600	0	0.0
4200	2	2.0
4800	7	6.798974358974359
5400	99	90.71836243694997
6000	134	124.84027766125011
6600	120	110.6266978579797
7200	112	101.70609936583854
7800	120	108.62725635120269
8400	119	106.75412933091542
9000	120	106.23000448353972
9600	142	127.1788323190623
10200	142	126.80696153295678
10800	203	181.57496033067966
11400	272	244.589944722722
12000	205	191.37943232278903
12600	260	235.27610842285304
13200	255	233.21635500826616
13800	234	215.9249000948167
14400	392	353.6929144148134
15000	403	376.57462444214116
15600	354	326.70994898946105
16200	490	444.2636669774688
16800	468	427.44125258681606
17400	477	437.25506685784393
18000	711	640.0352398312302
18600	543	510.5894059571326
19200	462	432.2239359113784
19800	415	384.6126905600187
20400	404	372.91876198433494
21000	414	378.3592597465694
21600	533	495.7460969975589
22200	433	399.06038200699004
22800	442	402.05049465880217
23400	594	545.1913543645877
24000	592	551.7042099705014
24600	638	591.0580111618514
25200	619	579.0489067370572
25800	583	536.7740717354151
26400	660	602.2976984800417
27000	623	570.167700358797
27600	588	538.285786759864
28200	653	590.1538337971101
28800	674	627.9456345273126
29400	639	595.0473898954671
30000	670	619.4454787512805
30600	589	556.1369641805657
31200	544	523.1451089943283
31800	514	495.41712363534555
32400	481	465.898468133839
33000	450	439.84536188279776
33600	425	418.6567807487966
34200	403	397.25020272220456
34800	391	385.25020272220456
35400	392	384.15144599246577
36000	380	377.8465800858192
36600	450	446.6445737726819
37200	703	693.9899484220721
37800	667	659.5013120040719
38400	643	638.003320251644
39000	639	631.8307723971969
39600	552	542.7499790385696
40200	675	656.6766800143681
40800	621	596.5514307903603
41400	753	698.4981797081405
42000	840	772.9256740767528
42600	970	901.6800771318276
43200	1374	1307.2313926780264
43800	1422	1354.372679994278
44400	1390	1325.9357113605552
45000	1271	1238.5975584428495
45600	1104	1052.9988569636816
46200	915	869.9410193668107
46800	763	722.4880048007466
47400	820	755.4470999138478
48000	704	674.8668249778208
48600	635	615.0389195179307
49200	628	603.8574997502575
49800	629	602.310096908409
50400	524	515.3693382955502
51000	497	490.81191959412513
51600	477	472.6632901807001
52200	468	464.4334412091318
52800	455	451.4334412091318
53400	438	435.8787491318021
54000	422	419.8787491318021
54600	405	403.63805221281405
55200	420	416.8835838243897
55800	440	433.7839764869673
56400	461	448.95991897342805
57000	470	452.78345022840165
57600	499	475.901030084755
58200	479	464.01595057417865
58800	463	453.2487054457392
59400	522	511.40817998861615
60000	565	528.6586844156814
60600	535	506.58038936941017
61200	604	566.96048148216
61800	599	552.9436565028691
62400	565	527.8579739818006
63000	538	506.43425694433216
63600	544	516.6692703191926
64200	545	511.5468203896825
64800	607	563.2694079553025
65400	522	496.27363857937826
66000	504	475.5609798387333
66600	558	497.7334244169076
67200	641	589.7376724282609
67800	533	507.8458451378884
68400	514	488.2483241164608
69000	491	465.59283145310576
69600	488	457.727022282108
70200	494	461.36527621730426
70800	491	456.70435642355335
71400	550	498.8735308575758
72000	561	511.81770910496755
72600	558	505.4720867164492
73200	574	525.5953421760016
73800	588	537.8740048539913
74400	575	534.6263310306211
75000	666	597.771414582168
75600	649	597.0783623497906
76200	709	641.7792230538225
76800	731	650.1353113190075
77400	738	669.0605676794219
78000	762	672.6665345084133
78600	791	704.0785677459089
79200	849	752.8899858349629
79800	802	713.6266801387443
80400	844	742.2101851600543
81000	867	745.3590159778647
81600	873	775.3288365918809
82200	844	761.6939604548082
82800	804	720.1311537579543
83400	835	743.3502402040608
84000	748	682.9730775328939
84600	838	753.2727255429838
85200	771	703.729191898081
85800	878	776.7593863646686
86400	988	866.3949171751728
87000	975	879.5581888105877
87600	951	821.1363849904242
88200	919	804.3843024160958
88800	821	737.4709111923481
89400	762	691.9199325747749
90000	747	673.4399216265004
90600	753	679.4689137181817
91200	792	713.9132996713258
91800	763	689.3466886172477
92400	725	648.8638373437873
93000	730	656.8887658626775
93600	744	673.8198732655933
94200	762	689.9246444249532
94800	768	692.3857306649337
95400	811	723.3091298366135
96000	911	798.1630273788898
96600	830	735.9067357209756
97200	858	766.2318381426722
97800	845	771.8518667780074
98400	761	689.510642481474
99000	760	694.8479828454464
99600	803	735.3466833074865
100200	823	744.8210386149129
100800	803	722.1469505118652
101400	746	682.2684418775989
102000	718	658.960598963342
102600	755	685.3028992471997
103200	780	702.5867111187454
103800	741	667.7665492634977
104400	720	640.4556673849357
105000	743	653.0240733377772
105600	713	653.9253468517611
106200	672	629.9135418998027
106800	624	591.7279805254121
107400	693	635.0467538473188
108000	672	607.1365118173492
108600	719	649.0195660228379
109200	729	647.1655378840763
109800	640	594.2530951230945
110400	630	585.7069743253085
111000	689	638.9599206395674
111600	721	658.0683085039299
112200	683	627.207330699457
112800	674	620.911728273848
113400	784	706.001566493912
114000	815	765.4017471197541
114600	974	873.2945079125217
115200	1011	911.759223875118
115800	1088	968.2793581387164
116400	1041	946.3951390753182
117000	1014	925.3534922952896
117600	997	911.3831248664662
118200	996	904.4314962572615
118800	991	899.1458839992666
119400	998	913.2287236807091
120000	953	872.8109383228011
120600	941	866.6796565193331
121200	983	904.3819764957346
121800	1005	921.100123262114
122400	1147	1032.9217333709714
123000	1322	1192.8174855643897
123600	1380	1258.1482415924452
124200	1348	1201.0877338445018
124800	1216	1087.87097961818
125400	1369	1174.8013462143347
126000	1564	1334.5173459297469
126600	1533	1290.692027143545
127200	1552	1362.8311168140008
127800	1477	1330.549377948182
128400	1383	1288.494760701856
129000	1394	1269.070319709602
129600	1327	1185.2981449357417
130200	1302	1182.0119795305682
130800	1395	1246.2007356975882
131400	1363	1219.5232624488112
132000	1468	1288.5809759099473
132600	1441	1320.71582818946
133200	1407	1295.661011911171
133800	1324	1242.6118800850513
134400	1299	1213.8861657010775
135000	1301	1210.7944669962726
135600	1296	1199.4153999660896
136200	1248	1162.013829649356
136800	1215	1128.4235162537846
137400	1245	1132.5837504266676
138000	1206	1106.3237941318491
138600	1245	1119.9885189878196
139200	1132	1050.8957211709471
139800	1079	1020.8860748241873
140400	1088	1019.3746441475022
141000	1014	950.2804008829424
141600	958	901.3218337747361
142200	921	865.1994660575186
142800	867	808.5642100923177
143400	876	811.9777702049134
144000	871	806.263378589994
144600	875	837.5949029376078
145200	884	837.8383358649278
145800	1046	989.6959720913536
146400	1108	1044.5915955702442
147000	1046	978.1934748064773
147600	1078	984.0863479905346
148200	1059	967.3516177132044
148800	1046	955.2293344138589
149400	1074	974.7939524164287
150000	1057	967.1530832248513
150600	1036	956.0506766507029
151200	1027	942.1247630496994
151800	1007	916.6803180461043
152400	978	895.3580369588886
153000	950	872.651257971857
153600	901	832.2682682716207
154200	938	855.9051102008664
154800	913	837.1981286214482
155400	879	815.5036449153572
156000	994	904.5810408049359
156600	984	902.096120526389
157200	980	894.6272844213562
157800	1046	938.1669303055929
158400	1064	978.1138624972974
159000	1008	932.8024900343253
159600	1124	1030.4507241429928
160200	1176	1063.790443508146
160800	1121	1004.291245170692
161400	1200	1089.1676675178396
162000	1258	1143.6273999525242
162600	1280	1156.0053778954616
163200	1292	1187.992754815403
163800	1187	1106.74309979785
164400	1043	988.8369295032096
165000	950	914.9862339248642
165600	841	814.6086780872228
166200	759	736.5167243737717
166800	676	660.3625450812234
167400	623	609.6398138681549
168000	748	730.8962671144437
168600	762	741.3585652096662
169200	746	726.7092203585236
169800	830	800.7105037247146
170400	815	783.4693252099269
171000	782	755.3443438609331
171600	856	818.4098464719085
172200	798	762.3892297269099
172800	758	730.5949472052918
173400	827	794.4846165864426
174000	820	788.1445130009031
174600	842	805.104005063082
175200	843	801.058880131017
175800	819	775.4953304905698
176400	792	746.9416632952565
177000	818	761.4975884195442
177600	797	743.4626481458395
178200	791	737.7057463842406
178800	782	726.5355193042666
179400	789	727.0009387834867
180000	887	818.0480271599176
180600	971	898.3850824016612
181200	1004	936.7560020744567
181800	991	909.6673737502147
182400	985	899.9958575008872
183000	956	877.2759615564004
183600	971	893.6027308996477
184200	941	874.0976721709458
184800	876	826.3008170568414
185400	864	812.1902275560102
186000	830	784.2040683821527
186600	804	766.7253573790601
187200	798	760.3284515721125
187800	740	715.70216318463
188400	670	654.5994811776839
189000	610	599.2067413484798
189600	564	557.6530097616846
190200	528	521.6530097616848
190800	491	487.6639283147579
191400	465	461.6639283147579
192000	528	516.7290817840576
192600	620	598.5029315710517
193200	664	641.638633340552
193800	651	627.1024069082944
194400	646	623.1731671259251
195000	636	609.0632834785231
195600	689	658.3130128427078
196200	725	675.2220679602127
196800	762	701.3523285458649
197400	891	801.7764311023341
198000	847	790.9209441133522
198600	814	763.9457874944288
199200	842	769.6980881024082
199800	762	707.1212217013747
200400	684	633.6543223022371
201000	639	597.4874086561082
201600	620	580.1702737712112
202200	663	612.4231599713232
202800	643	594.3442732312493
203400	644	588.2441225038965
204000	602	559.718974099505
204600	602	555.0990468366485
205200	658	605.635258045892
205800	644	590.3733660876343
206400	748	686.6742773276942
207000	722	668.4813917810177
207600	696	643.838665305717
208200	701	649.4529886239978
208800	743	691.1310946002832
209400	729	673.9413509607156
210000	717	663.0893946184534
210600	709	659.1991626052782
211200	731	683.2475357937087
211800	661	627.3457886928423
212400	620	597.6883444627983
213000	538	526.7610921852015
213600	481	471.1603869357341
214200	448	436.82759871976765
214800	427	414.33756590894933
215400	413	401.26834819950824
216000	435	419.9889906870389
216600	473	451.728166482827
217200	527	505.66406685775917
217800	505	483.0094193965578
218400	556	527.6101166079634
219000	602	578.1491939916345
219600	573	542.9515599008768
220200	553	523.8253619577835
220800	588	556.6946032902504
221400	572	534.7724311532813
222000	559	522.4097748754413
222600	564	527.7183680708171
223200	567	526.2307621421261
223800	545	503.5510548249301
224400	461	443.1799479036739
225000	417	401.3759160237411
225600	442	417.0471107089175
226200	385	372.7381966226411
226800	344	332.0997592182138
227400	332	322.6146828367693
228000	319	310.41719327726344
228600	363	344.889892776768
229200	360	347.1013765164309
229800	346	335.23221028854874
230400	393	371.9275385075186
231000	417	395.3260095605235
231600	395	373.99704902681447
232200	528	479.70006116957256
232800	504	459.7151278432795
233400	511	473.34434188951155
234000	525	479.7682811662442
234600	482	455.44208554859273
235200	528	495.50829980656175
235800	592	533.0959819427293
236400	555	502.15549170408747
237000	523	487.75219238795864
237600	504	472.27126632955606
238200	501	467.2475544504991
238800	529	490.10665032864034
239400	537	493.8401415244503
240000	566	514.1230028647637
240600	607	549.904652848798
241200	627	569.8127813275471
241800	630	570.1745712657624
242400	660	607.0661615524209
243000	626	560.3689361805731
243600	646	579.0145732699676
244200	716	630.1532368961388
244800	706	633.5133267769709
245400	703	621.2140882695669
246000	739	652.6221894531269
246600	783	692.4368275093125
247200	793	697.6236959997956
247800	757	673.6541793406701
248400	702	646.3954332959734
249000	641	613.8234899297144
249600	597	578.2677651802131
250200	545	535.3399584910821
250800	520	512.228770366326
251400	510	503.4871763733926
252000	492	486.5496618481091
252600	542	530.4120417272335
253200	578	559.4059253187637
253800	578	564.2254286610621
254400	622	595.5925912313304
255000	614	585.12349129551
255600	599	574.2627412528532
256200	696	651.047267239196
256800	701	654.4807308756641
257400	748	693.7885047897189
258000	765	702.2406439178815
258600	754	695.0822553716479
259200	840	771.2388031950891
259800	775	722.5357667502699
260400	699	668.9566854898449
261000	642	621.1787544304984
261600	588	571.0040033306493
262200	554	539.7753212506137
262800	528	515.7805227584627
263400	511	498.78052275846267
264000	492	482.0776634428733
264600	452	445.25943689789165
265200	426	421.42005552625125
265800	406	401.42005552625125
266400	397	392.42005552625125
267000	381	377.9980925883341
267600	367	366.26919436138405
268200	355	354.26919436138405
268800	350	349.26919436138405
269400	337	336.26919436138405
270000	330	329.26919436138405
270600	324	323.26919436138405
271200	314	313.26919436138405
271800	305	304.26919436138405
272400	288	287.26919436138405
273000	278	277.26919436138405
273600	261	260.26919436138405
274200	238	237.26919436138402
274800	227	226.26919436138402
275400	217	216.26919436138402
276000	201	200.26919436138402
276600	188	187.26919436138402
277200	180	179.26919436138402
277800	164	163.26919436138402
278400	152	151.26919436138402
279000	139	138.26919436138402
279600	129	128.26919436138402
280200	128	127.26919436138402
280800	126	125.26919436138402
281400	123	122.26919436138402
282000	116	115.26919436138402
282600	114	113.26919436138402
283200	113	112.26919436138402
283800	108	107.26919436138402
284400	98	97.26919436138402
285000	90	89.26919436138402
285600	84	83.26919436138402
286200	78	77.26919436138402
286800	72	71.26919436138402
287400	65	64.26919436138402
288000	62	61.269194361384024
288600	59	58.269194361384024
289200	49	48.269194361384024
289800	48	47.269194361384024
290400	47	46.269194361384024
291000	46	45.269194361384024
291600	45	44.269194361384024
292200	43	42.269194361384024
292800	41	40.269194361384024
293400	38	37.269194361384024
294000	37	36.269194361384024
294600	35	34.269194361384024
295200	34	33.269194361384024
295800	30	29.269194361384024
296400	27	26.269194361384024
297000	26	25.269194361384024
297600	22	22.0
298200	18	18.0
298800	17	17.0
299400	16	16.0
300000	16	16.0
300600	13	13.0
301200	7	7.0
301800	7	7.0
302400	7	7.0
303000	7	7.0
303600	7	7.0
304200	7	7.0
304800	7	7.0
305400	7	7.0
306000	7	7.0
306600	7	7.0
307200	7	7.0
307800	7	7.0
308400	7	7.0
309000	7	7.0
309600	7	7.0
310200	6	6.0
310800	6	6.0
311400	6	6.0
312000	6	6.0
312600	6	6.0
313200	6	6.0
313800	6	6.0
314400	6	6.0
315000	6	6.0
315600	6	6.0
316200	6	6.0
316800	6	6.0
317400	6	6.0
318000	6	6.0
318600	6	6.0
319200	6	6.0
319800	6	6.0
320400	6	6.0
321000	6	6.0
321600	6	6.0
322200	6	6.0
322800	6	6.0
323400	6	6.0
324000	5	5.0
324600	5	5.0
325200	5	5.0
325800	5	5.0
326400	5	5.0
327000	5	5.0
327600	5	5.0
328200	5	5.0
328800	5	5.0
329400	5	5.0
330000	5	5.0
330600	5	5.0
331200	5	5.0
331800	5	5.0
332400	5	5.0
333000	5	5.0
333600	5	5.0
334200	5	5.0
334800	5	5.0
335400	5	5.0
336000	5	5.0
336600	5	5.0
337200	5	5.0
337800	5	5.0
338400	5	5.0
339000	5	5.0
339600	5	5.0
340200	5	5.0
340800	5	5.0
341400	5	5.0
342000	5	5.0
342600	5	5.0
343200	5	5.0
343800	5	5.0
344400	5	5.0
345000	5	5.0
345600	5	5.0
346200	5	5.0
346800	5	5.0
347400	5	5.0
348000	5	5.0
348600	5	5.0
349200	5	5.0
349800	5	5.0
350400	5	5.0
351000	5	5.0
351600	5	5.0
352200	5	5.0
352800	5	5.0
353400	5	5.0
354000	5	5.0
354600	5	5.0
355200	5	5.0
355800	5	5.0
356400	5	5.0
357000	5	5.0
357600	5	5.0
358200	5	5.0
358800	5	5.0
359400	5	5.0
360000	5	5.0
360600	5	5.0
361200	5	5.0
361800	5	5.0
362400	5	5.0
363000	5	5.0
363600	5	5.0
364200	5	5.0
364800	5	5.0
365400	5	5.0
366000	5	5.0
366600	5	5.0
367200	5	5.0
367800	5	5.0
368400	5	5.0
369000	5	5.0
369600	5	5.0
370200	5	5.0
370800	5	5.0
371400	5	5.0
372000	5	5.0
372600	5	5.0
373200	5	5.0
373800	5	5.0
374400	5	5.0
375000	5	5.0
375600	5	5.0
376200	5	5.0
376800	4	4.0
377400	4	4.0
378000	4	4.0
378600	4	4.0
379200	4	4.0
379800	3	3.0
380400	3	3.0
381000	3	3.0
381600	3	3.0
382200	3	3.0
382800	3	3.0
383400	3	3.0
384000	3	3.0
384600	3	3.0
385200	3	3.0
385800	3	3.0
386400	3	3.0
387000	3	3.0
387600	3	3.0
388200	3	3.0
388800	3	3.0
389400	3	3.0
390000	2	2.0
390600	1	1.0
391200	1	1.0
391800	1	1.0
392400	1	1.0
393000	1	1.0
393600	1	1.0
394200	1	1.0
394800	1	1.0
395400	1	1.0
396000	1	1.0
396600	1	1.0
397200	1	1.0
397800	1	1.0
398400	1	1.0
399000	1	1.0
399600	1	1.0
400200	1	1.0
400800	1	1.0
401400	1	1.0
402000	1	1.0
402600	1	1.0
403200	1	1.0
403800	1	1.0
404400	1	1.0
405000	1	1.0
405600	1	1.0
406200	1	1.0
406800	1	1.0
407400	1	1.0
408000	1	1.0
408600	1	1.0
409200	1	1.0
409800	1	1.0
410400	1	1.0
411000	1	1.0
411600	1	1.0
412200	1	1.0
412800	1	1.0
413400	1	1.0
414000	1	1.0
414600	1	1.0
415200	1	1.0
415800	1	1.0
416400	1	1.0
417000	1	1.0
417600	1	1.0
418200	1	1.0
418800	1	1.0
419400	1	1.0
420000	1	1.0
420600	1	1.0
421200	1	1.0
421800	1	1.0
422400	1	1.0
423000	1	1.0
423600	1	1.0
424200	1	1.0
424800	1	1.0
425400	1	1.0
426000	1	1.0
426600	1	1.0
427200	1	1.0
427800	1	1.0
428400	1	1.0
