Time	Total	Dispersed	Machine_Used
Descirption: First-fit,greedy-recon/600s,threshold = 0.99; recon_threshold = 0.95;600	0	0	0
1200	0	0	0
1800	0	0	0
2400	0	0	0
3000	0	0	0
3600	0	0	0
4200	2	0	6
4800	7	1	38
5400	99	20	193
6000	134	30	260
6600	120	23	265
7200	112	23	272
7800	120	29	313
8400	119	28	319
9000	120	26	307
9600	142	29	322
10200	142	31	324
10800	203	46	374
11400	272	70	427
12000	205	34	384
12600	260	52	422
13200	255	41	434
13800	234	36	445
14400	392	70	542
15000	403	69	582
15600	354	67	578
16200	490	99	661
16800	468	100	674
17400	477	102	688
18000	711	177	752
18600	543	55	786
19200	462	53	744
19800	415	60	728
20400	404	66	717
21000	414	79	745
21600	533	77	777
22200	433	73	759
22800	442	79	758
23400	594	112	823
24000	592	98	830
24600	638	110	842
25200	619	93	842
25800	583	105	850
26400	660	121	895
27000	623	111	898
27600	588	95	889
28200	653	113	901
28800	674	96	887
29400	639	69	870
30000	670	84	840
30600	589	49	805
31200	544	23	764
31800	514	19	740
32400	481	15	720
33000	450	6	695
33600	425	3	672
34200	403	2	640
34800	391	3	627
35400	392	7	608
36000	380	1	588
36600	450	2	574
37200	703	6	545
37800	667	5	538
38400	643	4	535
39000	639	4	530
39600	552	7	529
40200	675	30	612
40800	621	48	652
41400	753	173	1139
42000	840	210	1245
42600	970	215	1274
43200	1374	233	1392
43800	1422	258	1482
44400	1390	220	1502
45000	1271	85	1335
45600	1104	110	1305
46200	915	90	1218
46800	763	73	990
47400	820	129	1104
48000	704	62	1011
48600	635	48	926
49200	628	55	891
49800	629	53	922
50400	524	19	835
51000	497	15	800
51600	477	15	781
52200	468	15	772
52800	455	13	757
53400	438	9	741
54000	422	9	722
54600	405	4	680
55200	420	4	630
55800	440	10	608
56400	461	15	667
57000	470	20	687
57600	499	47	799
58200	479	32	712
58800	463	22	674
59400	522	18	672
60000	565	73	855
60600	535	70	810
61200	604	90	862
61800	599	121	912
62400	565	94	872
63000	538	62	793
63600	544	69	760
64200	545	81	793
64800	607	91	801
65400	522	61	783
66000	504	67	765
66600	558	125	883
67200	641	132	892
67800	533	61	846
68400	514	49	817
69000	491	54	809
69600	488	65	797
70200	494	73	794
70800	491	75	809
71400	550	112	890
72000	561	122	933
72600	558	123	915
73200	574	112	930
73800	588	112	945
74400	575	106	916
75000	666	170	946
75600	649	147	950
76200	709	175	996
76800	731	176	1018
77400	738	170	1028
78000	762	203	1052
78600	791	212	1107
79200	849	249	1171
79800	802	212	1166
80400	844	238	1271
81000	867	269	1297
81600	873	230	1247
82200	844	188	1210
82800	804	197	1133
83400	835	178	1163
84000	748	118	1107
84600	838	161	1081
85200	771	132	1073
85800	878	212	1116
86400	988	269	1290
87000	975	185	1194
87600	951	267	1203
88200	919	258	1251
88800	821	155	1185
89400	762	138	1152
90000	747	159	1139
90600	753	151	1134
91200	792	165	1130
91800	763	159	1129
92400	725	150	1120
93000	730	157	1118
93600	744	135	1115
94200	762	138	1115
94800	768	158	1109
95400	811	180	1137
96000	911	241	1190
96600	830	177	1190
97200	858	187	1170
97800	845	171	1159
98400	761	154	1158
99000	760	173	1159
99600	803	177	1161
100200	823	189	1160
100800	803	168	1162
101400	746	137	1149
102000	718	128	1142
102600	755	152	1116
103200	780	172	1113
103800	741	162	1116
104400	720	160	1108
105000	743	187	1105
105600	713	104	1091
106200	672	81	1076
106800	624	61	1058
107400	693	97	1054
108000	672	103	1045
108600	719	139	1043
109200	729	143	1043
109800	640	73	1025
110400	630	65	1014
111000	689	95	1000
111600	721	120	998
112200	683	93	994
112800	674	98	988
113400	784	145	1058
114000	815	98	1099
114600	974	212	1125
115200	1011	251	1151
115800	1088	307	1282
116400	1041	260	1249
117000	1014	185	1232
117600	997	162	1222
118200	996	191	1216
118800	991	187	1214
119400	998	190	1207
120000	953	161	1205
120600	941	123	1203
121200	983	160	1192
121800	1005	174	1189
122400	1147	260	1227
123000	1322	294	1243
123600	1380	298	1234
