Time	Total	Dispersed	Machine_Used
Descirption: First-fit, random-100-recon/60s,threshold = 0.99; recon_threshold = 0.95;600	0	0	0
1200	0	0	0
1800	0	0	0
2400	0	0	0
3000	0	0	0
3600	0	0	0
4200	2	0	6
4800	7	1	38
5400	99	15	193
6000	134	13	260
6600	120	12	267
7200	112	15	271
7800	120	18	311
8400	119	17	319
9000	120	20	311
9600	142	21	321
10200	142	22	322
10800	203	30	374
11400	272	41	424
12000	205	21	385
12600	260	34	419
13200	255	30	435
13800	234	28	453
14400	392	55	541
15000	403	44	585
15600	354	36	576
16200	490	68	661
16800	468	50	676
17400	477	54	688
18000	711	88	752
18600	543	38	787
19200	462	38	747
19800	415	41	729
20400	404	45	721
21000	414	54	742
21600	533	56	781
22200	433	46	759
22800	442	59	756
23400	594	73	823
24000	592	64	835
24600	638	72	842
25200	619	60	846
25800	583	74	852
26400	660	88	896
27000	623	77	899
27600	588	66	894
28200	653	82	903
28800	674	60	893
29400	639	57	881
30000	670	59	844
30600	589	34	815
31200	544	29	791
31800	514	24	768
32400	481	17	742
33000	450	13	732
33600	425	11	699
34200	403	9	674
34800	391	8	660
35400	392	11	637
36000	380	5	607
36600	450	6	591
37200	703	9	560
37800	667	8	556
38400	643	7	551
39000	639	10	545
39600	552	12	536
40200	675	27	613
40800	621	34	655
41400	753	134	1139
42000	840	152	1244
42600	970	122	1273
43200	1374	115	1392
43800	1422	125	1482
44400	1390	118	1511
45000	1271	68	1363
45600	1104	82	1308
46200	915	65	1233
46800	763	70	1035
47400	820	101	1115
48000	704	48	1044
48600	635	36	963
49200	628	46	923
49800	629	48	905
50400	524	9	846
51000	497	6	827
51600	477	5	813
52200	468	5	801
52800	455	5	786
53400	438	5	769
54000	422	4	748
54600	405	1	704
55200	420	4	674
55800	440	7	650
56400	461	13	642
57000	470	17	667
57600	499	33	815
58200	479	16	728
58800	463	8	679
59400	522	11	655
60000	565	44	838
60600	535	31	783
61200	604	51	842
61800	599	63	906
62400	565	47	860
63000	538	32	763
63600	544	37	731
64200	545	44	794
64800	607	44	786
65400	522	32	735
66000	504	38	724
66600	558	73	899
67200	641	75	890
67800	533	30	839
68400	514	25	818
69000	491	30	811
69600	488	38	802
70200	494	44	799
70800	491	45	795
71400	550	69	886
72000	561	72	935
72600	558	73	927
73200	574	68	934
73800	588	70	949
74400	575	52	918
75000	666	85	945
75600	649	78	955
76200	709	100	997
76800	731	110	1017
77400	738	106	1030
78000	762	118	1054
78600	791	117	1104
79200	849	133	1172
79800	802	126	1166
80400	844	145	1273
81000	867	165	1292
81600	873	129	1253
82200	844	117	1199
82800	804	110	1124
83400	835	113	1170
84000	748	83	1131
84600	838	110	1102
85200	771	88	1088
85800	878	122	1115
86400	988	177	1291
87000	975	133	1208
87600	951	159	1207
88200	919	152	1258
88800	821	94	1207
89400	762	78	1178
90000	747	86	1167
90600	753	85	1154
91200	792	93	1151
91800	763	85	1147
92400	725	85	1138
93000	730	91	1129
93600	744	87	1125
94200	762	94	1121
94800	768	99	1117
95400	811	113	1118
96000	911	145	1175
96600	830	118	1181
97200	858	119	1166
97800	845	94	1162
98400	761	88	1162
99000	760	88	1152
99600	803	90	1165
100200	823	103	1162
100800	803	105	1164
101400	746	77	1146
102000	718	78	1141
