Time	Total	Dispersed	Machine_Used
Descirption: Network-aware, recon/60s,threshold = 0.99; recon_threshold = 0.95;600	0	0	0
1200	0	0	0
1800	0	0	0
2400	0	0	0
3000	0	0	0
3600	0	0	0
4200	2	0	6
4800	7	0	38
5400	99	0	194
6000	134	0	264
6600	120	0	264
7200	112	0	270
7800	120	0	311
8400	119	0	316
9000	120	0	310
9600	142	0	323
10200	142	0	322
10800	203	0	376
11400	272	4	422
12000	205	0	381
12600	260	1	424
13200	255	1	433
13800	234	3	447
14400	392	7	542
15000	403	9	576
15600	354	9	572
16200	490	12	661
16800	468	11	668
17400	477	14	689
18000	711	10	754
18600	543	10	778
19200	462	6	719
19800	415	7	695
20400	404	10	700
21000	414	13	735
21600	533	14	775
22200	433	16	749
22800	442	20	745
23400	594	19	826
24000	592	20	829
24600	638	22	844
25200	619	22	841
25800	583	27	845
26400	660	28	894
27000	623	27	896
27600	588	23	879
28200	653	28	903
28800	674	20	882
29400	639	15	856
30000	670	12	815
30600	589	9	790
31200	544	8	767
31800	514	6	736
32400	481	4	706
33000	450	3	691
33600	425	3	664
34200	403	3	633
34800	391	3	624
35400	392	2	599
36000	380	2	574
36600	450	2	563
37200	703	1	544
37800	667	1	544
38400	643	1	541
39000	639	1	550
39600	552	2	550
40200	675	3	639
40800	621	7	660
41400	753	44	1140
42000	840	45	1250
42600	970	24	1259
43200	1374	27	1397
43800	1422	26	1487
44400	1390	28	1501
45000	1271	11	1329
45600	1104	16	1315
46200	915	11	1211
46800	763	12	973
47400	820	20	1090
48000	704	7	983
48600	635	5	897
49200	628	3	841
49800	629	11	920
50400	524	3	795
51000	497	2	773
51600	477	2	753
52200	468	2	748
52800	455	2	729
53400	438	2	712
54000	422	2	697
54600	405	2	679
55200	420	3	652
55800	440	2	627
56400	461	3	638
57000	470	7	660
57600	499	5	734
58200	479	4	670
58800	463	6	633
59400	522	4	621
60000	565	13	795
60600	535	8	758
61200	604	9	807
61800	599	18	868
62400	565	12	828
63000	538	7	725
63600	544	10	706
64200	545	15	752
64800	607	15	739
65400	522	10	703
66000	504	7	681
66600	558	15	850
67200	641	14	856
67800	533	10	790
68400	514	9	776
69000	491	10	757
69600	488	10	744
70200	494	10	759
70800	491	10	781
71400	550	11	860
72000	561	14	917
72600	558	13	902
73200	574	13	911
73800	588	14	917
74400	575	12	885
75000	666	11	926
75600	649	15	928
76200	709	16	976
76800	731	18	997
77400	738	17	1001
78000	762	21	1034
78600	791	21	1078
79200	849	25	1168
79800	802	23	1117
80400	844	41	1255
81000	867	38	1294
81600	873	23	1210
82200	844	24	1183
82800	804	20	1072
83400	835	22	1149
84000	748	14	1071
84600	838	20	1036
85200	771	14	1059
85800	878	18	1105
86400	988	17	1289
87000	975	16	1148
87600	951	25	1197
88200	919	28	1260
88800	821	17	1161
89400	762	13	1123
90000	747	14	1104
90600	753	14	1106
91200	792	16	1102
91800	763	16	1108
92400	725	17	1098
