Time	Total	Dispersed	Machine_Used
Descirption: First-fit,greedy-recon/600s,threshold = 0.99; recon_threshold = 0.95;600	0	0	0
1200	0	0	0
1800	0	0	0
2400	0	0	0
3000	0	0	0
3600	0	0	0
4200	2	0	6
4800	7	1	38
5400	99	17	193
6000	134	17	260
6600	120	16	268
7200	112	18	273
7800	120	22	312
8400	119	22	319
9000	120	25	310
9600	142	26	321
10200	142	26	322
10800	203	38	374
11400	272	45	427
12000	205	25	389
12600	260	43	418
13200	255	40	439
13800	234	35	451
14400	392	58	541
15000	403	42	584
15600	354	45	582
16200	490	68	661
16800	468	62	676
17400	477	63	688
18000	711	109	752
18600	543	48	793
19200	462	44	748
19800	415	45	728
20400	404	49	719
21000	414	64	747
21600	533	61	780
22200	433	55	764
22800	442	68	760
23400	594	86	823
24000	592	67	835
24600	638	74	842
25200	619	60	839
25800	583	66	850
26400	660	74	895
27000	623	69	897
27600	588	61	889
28200	653	68	901
28800	674	57	893
29400	639	53	879
30000	670	60	842
30600	589	31	806
31200	544	20	782
31800	514	22	759
32400	481	19	731
33000	450	11	710
33600	425	9	673
34200	403	6	638
34800	391	7	628
35400	392	12	597
36000	380	5	573
36600	450	7	561
37200	703	13	533
37800	667	11	527
38400	643	11	522
39000	639	12	519
39600	552	15	524
40200	675	39	622
40800	621	37	652
41400	753	126	1139
42000	840	147	1244
42600	970	132	1273
43200	1374	130	1392
43800	1422	131	1482
44400	1390	118	1499
45000	1271	59	1354
45600	1104	83	1308
46200	915	62	1247
46800	763	62	1025
47400	820	92	1105
48000	704	52	1029
48600	635	37	960
49200	628	46	922
49800	629	46	897
50400	524	17	842
51000	497	12	820
51600	477	11	811
52200	468	11	799
52800	455	9	786
53400	438	9	766
54000	422	7	744
54600	405	5	702
55200	420	10	671
55800	440	16	650
56400	461	23	640
57000	470	27	672
57600	499	43	804
58200	479	27	723
58800	463	19	674
59400	522	15	662
60000	565	60	842
60600	535	47	797
61200	604	55	857
61800	599	79	913
62400	565	72	876
63000	538	46	782
63600	544	36	740
64200	545	47	800
64800	607	52	806
65400	522	39	777
66000	504	44	757
66600	558	88	901
67200	641	78	895
67800	533	35	835
68400	514	38	823
69000	491	43	820
69600	488	50	809
70200	494	57	803
70800	491	54	822
71400	550	77	891
72000	561	78	935
72600	558	79	930
73200	574	72	941
73800	588	79	957
74400	575	69	931
75000	666	105	947
75600	649	90	955
76200	709	113	997
76800	731	125	1020
77400	738	109	1029
78000	762	130	1055
78600	791	128	1099
79200	849	164	1170
79800	802	144	1173
80400	844	173	1261
81000	867	194	1295
81600	873	137	1251
82200	844	102	1188
82800	804	120	1115
83400	835	123	1174
84000	748	78	1122
84600	838	124	1095
85200	771	77	1075
85800	878	141	1122
86400	988	167	1287
87000	975	125	1209
87600	951	158	1204
88200	919	163	1255
88800	821	94	1209
89400	762	81	1184
90000	747	92	1167
90600	753	97	1161
91200	792	103	1156
91800	763	96	1154
92400	725	89	1148
93000	730	89	1141
93600	744	92	1138
94200	762	86	1128
94800	768	104	1125
95400	811	119	1120
96000	911	150	1179
96600	830	126	1186
97200	858	123	1170
97800	845	108	1158
98400	761	101	1157
99000	760	101	1159
99600	803	113	1152
100200	823	119	1153
100800	803	111	1160
101400	746	81	1146
102000	718	84	1139
102600	755	87	1129
103200	780	112	1127
103800	741	106	1120
104400	720	95	1107
105000	743	105	1095
105600	713	65	1088
106200	672	52	1084
106800	624	40	1075
107400	693	90	1069
108000	672	93	1061
108600	719	108	1057
109200	729	105	1056
109800	640	50	1035
110400	630	44	1022
111000	689	66	1014
111600	721	70	1009
112200	683	61	1003
112800	674	63	993
113400	784	92	1047
114000	815	64	1084
114600	974	136	1118
115200	1011	143	1152
115800	1088	196	1283
116400	1041	140	1249
117000	1014	118	1229
117600	997	121	1217
118200	996	132	1217
118800	991	131	1210
119400	998	123	1198
120000	953	119	1198
120600	941	105	1198
121200	983	122	1186
121800	1005	131	1185
122400	1147	184	1234
123000	1322	202	1245
123600	1380	198	1236
