Time	Total	Dispersed	Machine_Used
Descirption: First-fit,greedy-recon/600s,threshold = 0.99; recon_threshold = 0.95;600	0	0	0
1200	0	0	0
1800	0	0	0
2400	0	0	0
3000	0	0	0
3600	0	0	0
4200	2	0	6
4800	7	1	38
5400	99	17	193
6000	134	17	260
6600	120	16	267
7200	112	18	273
7800	120	22	312
8400	119	22	319
9000	120	25	310
9600	142	26	321
10200	142	26	322
10800	203	38	374
11400	272	47	427
12000	205	23	388
12600	260	42	419
13200	255	36	439
13800	234	30	452
14400	392	60	541
15000	403	44	585
15600	354	44	582
16200	490	75	661
16800	468	63	676
17400	477	64	688
18000	711	109	752
18600	543	50	795
19200	462	48	752
19800	415	49	731
20400	404	49	722
21000	414	57	745
21600	533	56	779
22200	433	49	763
22800	442	59	757
23400	594	75	823
24000	592	58	835
24600	638	70	842
25200	619	58	841
25800	583	68	849
26400	660	85	894
27000	623	77	897
27600	588	73	887
28200	653	91	903
28800	674	67	894
29400	639	66	880
30000	670	74	845
30600	589	47	815
31200	544	29	785
31800	514	26	763
32400	481	21	737
33000	450	14	709
33600	425	9	664
34200	403	8	637
34800	391	8	627
35400	392	12	610
36000	380	3	576
36600	450	5	559
37200	703	14	532
37800	667	12	524
38400	643	8	523
39000	639	12	520
39600	552	14	525
40200	675	29	620
40800	621	38	659
41400	753	130	1139
42000	840	151	1244
42600	970	135	1272
43200	1374	124	1392
43800	1422	127	1482
44400	1390	116	1504
45000	1271	58	1342
45600	1104	83	1308
46200	915	69	1225
46800	763	63	1004
47400	820	103	1101
48000	704	44	1024
48600	635	31	922
49200	628	41	884
49800	629	44	905
50400	524	13	849
51000	497	9	824
51600	477	6	802
52200	468	5	784
52800	455	5	771
53400	438	3	735
54000	422	3	719
54600	405	2	683
55200	420	5	635
55800	440	10	619
56400	461	18	649
57000	470	26	673
57600	499	39	808
58200	479	23	718
58800	463	14	681
59400	522	15	671
60000	565	62	838
60600	535	42	794
61200	604	55	865
61800	599	71	917
62400	565	60	861
63000	538	46	785
63600	544	42	747
64200	545	51	789
64800	607	63	804
65400	522	37	763
66000	504	41	744
66600	558	93	899
67200	641	76	881
67800	533	35	837
68400	514	36	815
69000	491	37	803
69600	488	46	785
70200	494	49	779
70800	491	50	821
71400	550	74	892
72000	561	72	936
72600	558	75	925
73200	574	68	941
73800	588	70	946
74400	575	57	913
75000	666	101	948
75600	649	75	949
76200	709	101	994
76800	731	115	1013
77400	738	99	1029
78000	762	129	1057
78600	791	125	1110
79200	849	146	1173
79800	802	127	1170
80400	844	152	1262
81000	867	182	1297
81600	873	136	1240
82200	844	117	1204
82800	804	124	1122
83400	835	128	1171
84000	748	88	1120
84600	838	127	1099
85200	771	96	1086
85800	878	145	1108
86400	988	195	1288
87000	975	129	1193
87600	951	183	1203
88200	919	164	1255
88800	821	112	1201
89400	762	96	1178
90000	747	104	1155
90600	753	102	1147
91200	792	108	1141
91800	763	101	1139
92400	725	105	1137
93000	730	101	1131
93600	744	95	1125
94200	762	99	1121
94800	768	107	1117
95400	811	122	1121
96000	911	163	1174
96600	830	127	1181
97200	858	123	1163
97800	845	102	1147
98400	761	100	1148
99000	760	90	1148
99600	803	94	1149
100200	823	107	1143
100800	803	113	1144
101400	746	86	1132
102000	718	82	1126
102600	755	97	1110
103200	780	106	1108
103800	741	99	1107
104400	720	111	1098
105000	743	124	1090
105600	713	79	1079
106200	672	56	1071
106800	624	42	1058
107400	693	86	1052
108000	672	92	1046
108600	719	100	1045
109200	729	116	1044
109800	640	62	1030
110400	630	60	1015
111000	689	69	1005
111600	721	87	1002
112200	683	78	997
112800	674	76	989
113400	784	110	1046
114000	815	65	1082
114600	974	147	1118
115200	1011	149	1153
115800	1088	190	1282
116400	1041	133	1249
117000	1014	123	1233
117600	997	120	1221
118200	996	128	1218
118800	991	131	1216
119400	998	119	1208
120000	953	109	1204
120600	941	100	1202
121200	983	107	1192
121800	1005	116	1182
122400	1147	163	1224
123000	1322	181	1245
123600	1380	172	1241
