Time	Total	Dispersed	Machine_Used
Descirption: First-fit, recon/60s,threshold = 0.99; recon_threshold = 0.95;600	0	0	0
1200	0	0	0
1800	0	0	0
2400	0	0	0
3000	0	0	0
3600	0	0	0
4200	2	0	6
4800	7	1	38
5400	99	17	193
6000	134	17	260
6600	120	16	267
7200	112	18	273
7800	120	22	312
8400	119	22	319
9000	120	25	310
9600	142	26	321
10200	142	26	322
10800	203	38	374
11400	272	48	428
12000	205	25	388
12600	260	38	418
13200	255	30	435
13800	234	30	448
14400	392	56	541
15000	403	44	583
15600	354	44	584
16200	490	70	661
16800	468	63	676
17400	477	64	687
18000	711	104	752
18600	543	48	796
19200	462	44	757
19800	415	45	733
20400	404	48	724
21000	414	54	745
21600	533	58	778
22200	433	52	763
22800	442	62	760
23400	594	79	823
24000	592	68	833
24600	638	73	842
25200	619	67	840
25800	583	76	849
26400	660	87	894
27000	623	67	899
27600	588	64	885
28200	653	74	903
28800	674	63	890
29400	639	55	877
30000	670	63	843
30600	589	33	817
31200	544	29	798
31800	514	24	783
32400	481	17	750
33000	450	9	713
33600	425	8	676
34200	403	6	655
34800	391	6	645
35400	392	7	616
36000	380	2	580
36600	450	3	561
37200	703	8	528
37800	667	9	521
38400	643	9	518
39000	639	10	535
39600	552	11	540
40200	675	41	635
40800	621	48	667
41400	753	142	1139
42000	840	156	1244
42600	970	137	1271
43200	1374	123	1392
43800	1422	126	1482
44400	1390	111	1508
45000	1271	53	1344
45600	1104	87	1311
46200	915	67	1243
46800	763	64	1027
47400	820	119	1108
48000	704	45	1031
48600	635	36	946
49200	628	38	898
49800	629	42	888
50400	524	16	834
51000	497	14	806
51600	477	12	793
52200	468	12	786
52800	455	10	765
53400	438	8	754
54000	422	8	743
54600	405	4	699
55200	420	7	662
55800	440	12	644
56400	461	16	638
57000	470	21	671
57600	499	36	814
58200	479	24	713
58800	463	16	659
59400	522	20	652
60000	565	67	844
60600	535	46	795
61200	604	58	853
61800	599	75	911
62400	565	68	879
63000	538	43	772
63600	544	40	733
64200	545	54	801
64800	607	64	798
65400	522	42	777
66000	504	38	743
66600	558	84	891
67200	641	79	898
67800	533	30	852
68400	514	33	832
69000	491	40	829
69600	488	44	817
70200	494	46	811
70800	491	49	823
71400	550	68	893
72000	561	81	937
72600	558	83	933
73200	574	80	936
73800	588	82	946
74400	575	72	909
75000	666	112	949
75600	649	91	953
76200	709	107	995
76800	731	123	1017
77400	738	120	1029
78000	762	140	1055
78600	791	132	1107
79200	849	162	1174
79800	802	138	1173
80400	844	168	1269
81000	867	195	1293
81600	873	147	1247
82200	844	126	1207
82800	804	121	1122
83400	835	132	1171
84000	748	69	1129
84600	838	120	1110
85200	771	93	1094
85800	878	145	1120
86400	988	205	1288
87000	975	142	1211
87600	951	181	1204
88200	919	175	1254
88800	821	108	1200
89400	762	96	1170
90000	747	108	1159
90600	753	109	1149
91200	792	121	1146
91800	763	108	1144
92400	725	95	1138
93000	730	107	1131
93600	744	95	1122
94200	762	105	1120
94800	768	118	1113
95400	811	132	1133
96000	911	166	1185
96600	830	140	1189
97200	858	135	1173
97800	845	113	1166
98400	761	100	1168
99000	760	107	1154
99600	803	109	1165
100200	823	117	1164
100800	803	118	1162
101400	746	104	1157
102000	718	98	1156
102600	755	104	1141
103200	780	119	1131
103800	741	106	1131
104400	720	96	1119
105000	743	109	1105
105600	713	72	1092
106200	672	57	1089
106800	624	48	1084
107400	693	92	1078
108000	672	96	1070
108600	719	113	1067
109200	729	124	1062
109800	640	46	1046
110400	630	48	1035
111000	689	68	1014
111600	721	70	1011
112200	683	53	1009
112800	674	58	996
113400	784	93	1033
114000	815	65	1092
114600	974	126	1111
115200	1011	136	1151
115800	1088	188	1283
116400	1041	136	1248
117000	1014	117	1233
117600	997	119	1226
118200	996	130	1224
118800	991	130	1222
119400	998	123	1211
120000	953	111	1210
120600	941	101	1206
121200	983	109	1199
121800	1005	118	1190
122400	1147	177	1228
123000	1322	208	1243
123600	1380	180	1235
124200	1348	196	1250
124800	1216	174	1248
125400	1369	262	1302
126000	1564	310	1385
126600	1533	340	1463
127200	1552	281	1584
127800	1477	201	1590
128400	1383	121	1607
129000	1394	185	1602
129600	1327	209	1612
130200	1302	171	1598
130800	1395	222	1703
131400	1363	208	1678
132000	1468	254	1737
132600	1441	174	1745
133200	1407	168	1705
133800	1324	137	1688
134400	1299	134	1610
135000	1301	140	1585
135600	1296	150	1563
136200	1248	128	1503
136800	1215	127	1497
137400	1245	159	1515
138000	1206	147	1533
138600	1245	175	1544
139200	1132	107	1525
139800	1079	81	1503
140400	1088	117	1485
141000	1014	101	1444
141600	958	81	1385
142200	921	88	1350
142800	867	85	1306
143400	876	95	1286
144000	871	84	1259
144600	875	69	1244
145200	884	91	1230
145800	1046	112	1220
146400	1108	104	1238
147000	1046	103	1258
147600	1078	132	1302
148200	1059	130	1306
148800	1046	137	1306
149400	1074	147	1382
150000	1057	128	1387
150600	1036	125	1378
151200	1027	129	1396
151800	1007	132	1402
152400	978	118	1395
153000	950	116	1352
153600	901	91	1342
154200	938	121	1331
154800	913	112	1356
155400	879	99	1347
156000	994	148	1390
156600	984	136	1414
157200	980	140	1407
157800	1046	164	1428
158400	1064	139	1447
159000	1008	109	1402
159600	1124	127	1384
160200	1176	156	1415
160800	1121	170	1455
161400	1200	154	1476
162000	1258	161	1513
162600	1280	160	1526
163200	1292	142	1515
163800	1187	106	1512
164400	1043	68	1494
165000	950	48	1463
165600	841	25	1407
166200	759	27	1361
166800	676	10	1283
167400	623	10	1230
168000	748	16	1194
168600	762	26	1153
169200	746	17	1124
169800	830	32	1089
170400	815	33	1067
171000	782	26	1053
171600	856	44	1042
172200	798	37	1034
172800	758	31	1025
173400	827	38	1014
174000	820	40	1010
174600	842	50	987
175200	843	45	964
175800	819	50	956
176400	792	51	944
177000	818	72	1062
177600	797	65	1019
178200	791	68	1007
178800	782	69	1036
179400	789	83	1078
180000	887	99	1093
180600	971	98	1139
181200	1004	87	1143
181800	991	111	1151
182400	985	101	1163
183000	956	105	1168
183600	971	97	1154
184200	941	76	1139
184800	876	53	1129
185400	864	72	1117
186000	830	66	1109
186600	804	57	1099
187200	798	51	1084
187800	740	39	1058
188400	670	23	1030
189000	610	11	1002
189600	564	10	973
190200	528	8	943
190800	491	4	892
191400	465	4	867
192000	528	18	857
192600	620	32	852
193200	664	34	846
193800	651	40	834
194400	646	43	821
195000	636	40	820
195600	689	53	806
196200	725	75	918
196800	762	93	957
197400	891	133	1061
198000	847	107	1058
198600	814	81	1043
199200	842	115	1049
199800	762	85	1010
200400	684	73	1000
201000	639	61	960
201600	620	69	942
202200	663	77	991
202800	643	75	996
203400	644	81	969
204000	602	72	974
204600	602	80	956
205200	658	82	944
205800	644	92	990
206400	748	105	1108
207000	722	82	1077
207600	696	82	1050
208200	701	89	1043
208800	743	88	1028
209400	729	96	1014
210000	717	87	993
210600	709	81	986
211200	731	71	973
211800	661	39	951
212400	620	34	942
213000	538	15	879
213600	481	16	836
214200	448	14	821
214800	427	13	806
215400	413	17	794
216000	435	18	786
216600	473	31	778
217200	527	32	772
217800	505	32	767
218400	556	36	758
219000	602	36	754
219600	573	39	749
220200	553	37	746
220800	588	39	796
221400	572	47	831
222000	559	44	828
222600	564	46	805
223200	567	60	802
223800	545	56	789
224400	461	24	772
225000	417	11	744
225600	442	33	721
226200	385	13	697
226800	344	17	677
227400	332	16	668
228000	319	12	632
228600	363	24	625
229200	360	17	618
229800	346	13	603
230400	393	26	598
231000	417	29	596
231600	395	23	596
232200	528	66	806
232800	504	64	817
233400	511	59	803
234000	525	81	836
234600	482	47	796
235200	528	58	768
235800	592	114	942
236400	555	82	922
237000	523	57	900
237600	504	54	884
238200	501	61	876
238800	529	67	872
239400	537	77	904
240000	566	89	961
240600	607	94	982
241200	627	101	1023
241800	630	103	1019
242400	660	98	1004
243000	626	111	1026
243600	646	98	1015
244200	716	131	1059
244800	706	105	1051
245400	703	117	1076
246000	739	131	1127
246600	783	134	1143
247200	793	140	1162
247800	757	104	1149
248400	702	80	1132
249000	641	53	1115
249600	597	34	1077
250200	545	22	1018
250800	520	15	992
251400	510	12	969
252000	492	11	948
252600	542	18	927
253200	578	37	911
253800	578	25	901
254400	622	42	893
255000	614	46	906
255600	599	39	906
256200	696	69	1008
256800	701	71	995
257400	748	84	1040
258000	765	97	1067
258600	754	98	1063
259200	840	116	1135
259800	775	77	1091
260400	699	49	1081
261000	642	33	1053
261600	588	27	1022
262200	554	14	993
262800	528	13	970
263400	511	13	962
264000	492	13	947
264600	452	10	903
265200	426	8	833
265800	406	7	808
266400	397	6	796
267000	381	3	736
267600	367	2	718
268200	355	1	698
268800	350	1	694
269400	337	1	681
270000	330	1	672
270600	324	1	663
271200	314	1	657
271800	305	1	648
272400	288	0	631
273000	278	0	615
273600	261	0	601
274200	238	0	553
274800	227	0	534
275400	217	0	522
276000	201	0	484
276600	188	0	444
277200	180	0	420
277800	164	0	383
278400	152	0	351
279000	139	0	309
279600	129	0	288
280200	128	0	286
280800	126	0	283
281400	123	0	280
282000	116	0	272
282600	114	0	267
283200	113	0	266
283800	108	0	262
284400	98	0	245
285000	90	0	224
285600	84	0	213
286200	78	0	203
286800	72	0	188
287400	65	0	166
288000	62	0	158
288600	59	0	147
289200	49	0	123
289800	48	0	122
290400	47	0	119
291000	46	0	119
291600	45	0	116
292200	43	0	111
292800	41	0	104
293400	38	0	99
294000	37	0	98
294600	35	0	89
295200	34	0	88
295800	30	0	77
296400	27	0	64
297000	26	0	62
297600	22	0	46
298200	18	0	37
298800	17	0	36
299400	16	0	35
300000	16	0	35
300600	13	0	30
301200	7	0	9
301800	7	0	9
302400	7	0	9
303000	7	0	9
303600	7	0	9
304200	7	0	9
304800	7	0	9
305400	7	0	9
306000	7	0	9
306600	7	0	9
307200	7	0	9
307800	7	0	9
308400	7	0	9
309000	7	0	9
309600	7	0	9
310200	6	0	7
310800	6	0	7
311400	6	0	7
312000	6	0	7
312600	6	0	7
313200	6	0	7
313800	6	0	7
314400	6	0	7
315000	6	0	7
315600	6	0	7
316200	6	0	7
316800	6	0	7
317400	6	0	7
318000	6	0	7
318600	6	0	7
319200	6	0	7
319800	6	0	7
320400	6	0	7
321000	6	0	7
321600	6	0	7
322200	6	0	7
322800	6	0	7
323400	6	0	7
324000	5	0	6
324600	5	0	6
325200	5	0	6
325800	5	0	6
326400	5	0	6
327000	5	0	6
327600	5	0	6
328200	5	0	6
328800	5	0	6
329400	5	0	6
330000	5	0	6
330600	5	0	6
331200	5	0	6
331800	5	0	6
332400	5	0	6
333000	5	0	6
333600	5	0	6
334200	5	0	6
334800	5	0	6
335400	5	0	6
336000	5	0	6
336600	5	0	6
337200	5	0	6
337800	5	0	6
338400	5	0	6
339000	5	0	6
339600	5	0	6
340200	5	0	6
340800	5	0	6
341400	5	0	6
342000	5	0	6
342600	5	0	6
343200	5	0	6
343800	5	0	6
344400	5	0	6
345000	5	0	6
345600	5	0	6
346200	5	0	6
346800	5	0	6
347400	5	0	6
348000	5	0	6
348600	5	0	6
349200	5	0	6
349800	5	0	6
350400	5	0	6
351000	5	0	6
351600	5	0	6
352200	5	0	6
352800	5	0	6
353400	5	0	6
354000	5	0	6
354600	5	0	6
355200	5	0	6
355800	5	0	6
356400	5	0	6
357000	5	0	6
357600	5	0	6
358200	5	0	6
358800	5	0	6
359400	5	0	6
360000	5	0	6
360600	5	0	6
361200	5	0	6
361800	5	0	6
362400	5	0	6
363000	5	0	6
363600	5	0	6
364200	5	0	6
364800	5	0	6
365400	5	0	6
366000	5	0	6
366600	5	0	6
367200	5	0	6
367800	5	0	6
368400	5	0	6
369000	5	0	6
369600	5	0	6
370200	5	0	6
370800	5	0	6
371400	5	0	6
372000	5	0	6
372600	5	0	6
373200	5	0	6
373800	5	0	6
374400	5	0	6
375000	5	0	6
375600	5	0	6
376200	5	0	6
376800	4	0	5
377400	4	0	5
378000	4	0	5
378600	4	0	5
379200	4	0	5
379800	3	0	3
380400	3	0	3
381000	3	0	3
381600	3	0	3
382200	3	0	3
382800	3	0	3
383400	3	0	3
384000	3	0	3
384600	3	0	3
385200	3	0	3
385800	3	0	3
386400	3	0	3
387000	3	0	3
387600	3	0	3
388200	3	0	3
388800	3	0	3
389400	3	0	3
390000	2	0	2
390600	1	0	1
391200	1	0	1
391800	1	0	1
392400	1	0	1
393000	1	0	1
393600	1	0	1
394200	1	0	1
394800	1	0	1
395400	1	0	1
396000	1	0	1
396600	1	0	1
397200	1	0	1
397800	1	0	1
398400	1	0	1
399000	1	0	1
399600	1	0	1
400200	1	0	1
400800	1	0	1
401400	1	0	1
402000	1	0	1
402600	1	0	1
403200	1	0	1
403800	1	0	1
404400	1	0	1
405000	1	0	1
405600	1	0	1
406200	1	0	1
406800	1	0	1
407400	1	0	1
408000	1	0	1
408600	1	0	1
409200	1	0	1
409800	1	0	1
410400	1	0	1
411000	1	0	1
411600	1	0	1
412200	1	0	1
412800	1	0	1
413400	1	0	1
414000	1	0	1
414600	1	0	1
415200	1	0	1
415800	1	0	1
416400	1	0	1
417000	1	0	1
417600	1	0	1
418200	1	0	1
418800	1	0	1
419400	1	0	1
420000	1	0	1
420600	1	0	1
421200	1	0	1
421800	1	0	1
422400	1	0	1
423000	1	0	1
423600	1	0	1
424200	1	0	1
424800	1	0	1
425400	1	0	1
426000	1	0	1
426600	1	0	1
427200	1	0	1
427800	1	0	1
428400	1	0	1
