Time	Current
Descirption: First-fit,original,threshold = 0.99; recon_threshold = 0.95;600	0	0.0
1200	0	0.0
1800	0	0.0
2400	0	0.0
3000	0	0.0
3600	0	0.0
4200	2	2.0
4800	7	6.698818232976928
5400	99	90.06355378897804
6000	134	116.73055600083966
6600	120	100.546580686111
7200	112	89.7556661006361
7800	120	94.77702201380868
8400	119	92.5182245512276
9000	120	92.13771432334597
9600	142	110.71041853996854
10200	142	111.0874340516396
10800	203	164.13924448268224
11400	272	215.10795241401
12000	205	165.19979230590002
12600	260	207.9838554027879
13200	255	197.47980530217475
13800	234	178.793426902786
14400	392	314.3467703785198
15000	403	323.3457262695911
15600	354	278.6985151917072
16200	490	399.15806135183186
16800	468	366.4024698717954
17400	477	376.8174555393199
18000	711	562.0335091355267
18600	543	418.3911742815264
19200	462	360.5514414001433
19800	415	316.42330269404783
20400	404	295.0721733149406
21000	414	298.920374903572
21600	533	403.5339331803434
22200	433	313.9986833279202
22800	442	317.88975659978524
23400	594	456.5396927061842
24000	592	458.01497740531534
24600	638	491.95022197142396
25200	619	474.6254115956623
25800	583	432.85389649256257
26400	660	493.29213103026615
27000	623	455.7906134554159
27600	588	423.5551004094306
28200	653	465.4520288272763
28800	674	489.4057982344497
29400	639	460.0193689966111
30000	670	485.76523266295584
30600	589	430.25719119351305
31200	544	396.91306280870947
31800	514	373.83535808573777
32400	481	357.1962195891535
33000	450	336.9388542842406
33600	425	320.4401624156055
34200	403	306.25137678107365
34800	391	297.92128638458803
35400	392	300.9690311179988
36000	380	302.22546152261265
36600	450	363.6952181063226
37200	703	596.804673259403
37800	667	563.6824004328363
38400	643	545.0123158335981
39000	639	540.618599565224
39600	552	452.11223061448334
40200	675	558.9707146700699
40800	621	497.57451349696873
41400	753	599.9324011818337
42000	840	666.332551365497
42600	970	774.9034127742106
43200	1374	1169.4730004688372
43800	1422	1210.4055695915993
44400	1390	1181.754193140525
45000	1271	1085.352059092253
45600	1104	883.5726151334908
46200	915	696.3292298216257
46800	763	568.5973110966777
47400	820	593.312616688621
48000	704	512.9549689193288
48600	635	467.11496250536595
49200	628	457.72730028764437
49800	629	455.6610389974074
50400	524	384.79609713955216
51000	497	370.2616570031651
51600	477	357.45053083614465
52200	468	352.4010909806885
52800	455	345.67604556943576
53400	438	333.05637443590285
54000	422	319.1549947592489
54600	405	307.9744666795591
55200	420	315.9160764554957
55800	440	332.4339692909894
56400	461	343.5579999844368
57000	470	347.0366648225608
57600	499	366.46554277340937
58200	479	351.2966635868198
58800	463	340.0627701058983
59400	522	396.1755873504366
60000	565	399.2087872644116
60600	535	372.16167110360215
61200	604	423.1709050017776
61800	599	399.8132172260426
62400	565	384.23328135591845
63000	538	367.74061413883845
63600	544	374.3803053524706
64200	545	360.87749394957405
64800	607	412.8325058628386
65400	522	343.5764972430495
66000	504	330.51171376689626
66600	558	351.90013327139513
67200	641	426.5839019127005
67800	533	341.2857807882465
68400	514	328.1806688792862
69000	491	303.87551293010597
69600	488	296.3647009758163
70200	494	299.2064615063626
70800	491	296.92722989491136
71400	550	323.7771999839911
72000	561	335.2569348042128
72600	558	330.36830812527234
73200	574	342.5569154303682
73800	588	350.0551046315292
74400	575	346.39891886884607
75000	666	397.40197254041965
75600	649	386.11465907327863
76200	709	426.8893753805147
76800	731	434.85415113389655
77400	738	436.780915735051
78000	762	448.6490720035202
78600	791	465.90301478481615
79200	849	510.73883694863395
79800	802	477.94106082493454
80400	844	498.52246816808446
81000	867	501.3212642968828
81600	873	512.5980809184952
82200	844	497.68601934298
82800	804	467.14379702422895
83400	835	484.17694635579636
84000	748	430.1774413607436
84600	838	519.0783268570553
85200	771	468.06946481819705
85800	878	529.4029673515848
86400	988	601.3548039729287
87000	975	601.8426130636569
87600	951	558.0462559511774
88200	919	520.2073311727784
88800	821	458.14958216209527
89400	762	420.4752400363419
90000	747	410.77276533681527
90600	753	417.0566767807926
91200	792	457.8196381234451
91800	763	432.251225648639
92400	725	407.03900472312966
93000	730	408.0738312353051
93600	744	422.8763801044368
94200	762	443.33434301598083
94800	768	441.7569626169405
95400	811	465.3999023714543
96000	911	533.1681995702954
96600	830	463.0218430490785
97200	858	485.7608534765892
97800	845	473.4801528942076
98400	761	409.80938952291524
99000	760	404.24699969463086
99600	803	443.842390750308
100200	823	456.5261606831625
100800	803	435.19737798846046
101400	746	395.9372058478465
102000	718	378.81993265298723
102600	755	412.666943024606
103200	780	416.6997053566908
103800	741	393.9199351583572
104400	720	376.6754927901963
105000	743	393.63003793826533
105600	713	379.4907265846594
106200	672	356.0139832450597
106800	624	325.97204872707
107400	693	362.3850671524687
108000	672	341.8138821244156
108600	719	371.90129113864606
109200	729	373.39840807123204
109800	640	329.41290037491035
110400	630	328.886449839193
111000	689	380.5361854320013
111600	721	390.25130722995453
112200	683	370.1531623743151
112800	674	364.484020732448
113400	784	437.95167718657456
114000	815	473.6850384962374
114600	974	568.6807851632299
115200	1011	579.6833074044393
115800	1088	629.7204675294469
116400	1041	590.2711608488191
117000	1014	571.0410735990848
117600	997	560.4017788301059
118200	996	551.620789773193
118800	991	548.7588561794241
119400	998	563.7834565427656
120000	953	528.2898428765898
120600	941	527.4821417165707
121200	983	560.3044927948335
121800	1005	569.8551930448145
122400	1147	656.4865861373738
123000	1322	784.5299913793394
123600	1380	826.1226256666307
124200	1348	772.5556039411238
124800	1216	692.293810263987
125400	1369	785.8665121509757
126000	1564	915.3341307488171
126600	1533	884.134520759391
127200	1552	909.5697370186261
127800	1477	857.955255575931
128400	1383	796.4550193047033
129000	1394	795.1735142842039
129600	1327	739.2228988887152
130200	1302	740.2748713546148
130800	1395	798.9352284085697
131400	1363	767.0273023348217
132000	1468	844.3324214307382
132600	1441	844.9446268956723
133200	1407	808.7069599384163
133800	1324	757.4429768245113
134400	1299	750.8015182935153
135000	1301	747.8727044093963
135600	1296	726.4424327208254
136200	1248	705.606193105158
136800	1215	681.1538733155546
137400	1245	690.9933445315613
138000	1206	660.8676350862264
138600	1245	684.5514850088005
139200	1132	622.3340384690239
139800	1079	598.4892598484219
140400	1088	609.8082016457753
141000	1014	567.9835513782613
141600	958	535.8106205250554
142200	921	517.2724094406731
142800	867	484.444475664751
143400	876	500.8214780434543
144000	871	493.9663410975116
144600	875	515.447927039621
145200	884	508.138080294191
145800	1046	649.324337574564
146400	1108	704.2375650061031
147000	1046	643.7583588061245
147600	1078	644.9325625803609
148200	1059	624.9690888174935
148800	1046	610.2718504109323
149400	1074	629.7663312790492
150000	1057	612.7686134747778
150600	1036	599.6108542236443
151200	1027	600.8890533413401
151800	1007	579.0051069763614
152400	978	561.0468207710386
153000	950	544.0093842765193
153600	901	513.8999738158241
154200	938	539.4086192548605
154800	913	517.3172935709772
155400	879	492.69516981205845
156000	994	573.6202638353636
156600	984	567.7528624946896
157200	980	562.970284364107
157800	1046	604.3989193501977
158400	1064	636.1145893751927
159000	1008	588.8753024340749
159600	1124	689.8694462190963
160200	1176	726.5979761887435
160800	1121	660.7000163949531
161400	1200	733.5835143309056
162000	1258	788.9810594310546
162600	1280	800.0210316168417
163200	1292	812.895898175593
163800	1187	729.6507884540505
164400	1043	625.3437104786155
165000	950	570.6879050268683
165600	841	499.7798021629103
166200	759	441.79051493517176
166800	676	399.4771049797169
167400	623	369.6639588702508
168000	748	498.8143439708588
168600	762	511.2989302193286
169200	746	493.7649620530163
169800	830	569.2813938006036
170400	815	553.6175764162492
171000	782	528.7074784173731
171600	856	581.368508625816
172200	798	529.7670141827513
172800	758	496.3555334007558
173400	827	555.9501468061467
174000	820	554.7887004182523
174600	842	577.6514198825004
175200	843	573.3186301322786
175800	819	547.7136605535943
176400	792	523.8405378047718
177000	818	547.3204612553935
177600	797	529.7413443926722
178200	791	519.6300626265506
178800	782	514.2307267383223
179400	789	514.8861793567381
180000	887	596.2999234137735
180600	971	673.0037315631894
181200	1004	704.9298249490882
181800	991	680.0187032293427
182400	985	663.4565866360349
183000	956	627.577525201861
183600	971	636.8327795657405
184200	941	610.2771955113668
184800	876	568.2284170700348
185400	864	563.2432209661517
186000	830	535.9324912097013
186600	804	523.189269909267
187200	798	522.5053442322195
187800	740	480.071929872909
188400	670	427.4177690342821
189000	610	391.927982496664
189600	564	364.96310736864035
190200	528	343.3971963083476
190800	491	322.4768301012756
191400	465	305.0351088642334
192000	528	346.40927645359335
192600	620	404.341645799255
193200	664	442.85509403787916
193800	651	415.57832105359216
194400	646	413.3204079142305
195000	636	397.0402290280169
195600	689	444.960687997166
196200	725	459.3324563548145
196800	762	479.3614199023666
197400	891	561.3805799862865
198000	847	523.4945624861205
198600	814	499.87985740747007
199200	842	517.252689552775
199800	762	466.1831382053112
200400	684	413.74739018079623
201000	639	380.63233686654206
201600	620	368.71139029455776
202200	663	411.0778860699616
202800	643	383.98393365196574
203400	644	387.3266124731317
204000	602	355.23449149900495
204600	602	353.3123098792162
205200	658	405.3480813202152
205800	644	384.8194909213231
206400	748	456.98304336610107
207000	722	441.9913734045517
207600	696	420.01572313504386
208200	701	424.3698834335966
208800	743	467.51328771724167
209400	729	439.91528001884785
210000	717	431.31753443802364
210600	709	426.5821784905259
211200	731	453.6960218163425
211800	661	400.8176011893949
212400	620	374.2434966448498
213000	538	323.9055835553838
213600	481	293.76575322761516
214200	448	270.0550916698443
214800	427	257.3263705971996
215400	413	249.16156860889532
216000	435	266.9654035443428
216600	473	301.7922042711285
217200	527	351.93712213552226
217800	505	328.2262703099681
218400	556	358.01577932047553
219000	602	399.0197293878623
219600	573	362.658852380245
220200	553	345.85096525020464
220800	588	376.857118506517
221400	572	360.04292918557263
222000	559	345.1032572856282
222600	564	346.07224294695754
223200	567	346.6850100826184
223800	545	326.2414016479021
224400	461	279.749043501331
225000	417	251.32806880912668
225600	442	276.9844623197234
226200	385	242.21073247077936
226800	344	209.30020437113862
227400	332	199.63202412475502
228000	319	196.52646758661567
228600	363	227.89997500524711
229200	360	231.3177002681804
229800	346	226.15241754434462
230400	393	255.6363741584198
231000	417	274.23758969708575
231600	395	254.70088884134262
232200	528	352.9943260349191
232800	504	325.5428457187246
233400	511	326.71919201531716
234000	525	321.945514305622
234600	482	300.43215102455
235200	528	342.0119619679684
235800	592	375.13070715373783
236400	555	349.1735264238564
237000	523	330.57574915459725
237600	504	314.2416255908473
238200	501	316.4629146485605
238800	529	340.92806630486217
239400	537	341.2032730944077
240000	566	361.43158815248836
240600	607	389.5447447653395
241200	627	401.0376863085603
241800	630	398.0557861994683
242400	660	430.2452356287964
243000	626	386.79328983105404
243600	646	410.6532262035678
244200	716	449.24646034227777
244800	706	449.56289796044763
245400	703	438.0385357380902
246000	739	458.23569463832956
246600	783	499.9924692920998
247200	793	500.95616741540107
247800	757	469.7698147733141
248400	702	434.69533963042255
249000	641	396.608387810994
249600	597	368.796853230289
250200	545	334.5050203726654
250800	520	318.9177764012443
251400	510	315.7841165085418
252000	492	304.474792613762
252600	542	345.04132998499296
253200	578	370.13999948276194
253800	578	373.88191812597466
254400	622	399.2944224218925
255000	614	388.93868768768084
255600	599	375.03468802694056
256200	696	453.5892177241496
256800	701	456.0984957984538
257400	748	488.8958278209761
258000	765	491.86919446405386
258600	754	483.26727375471506
259200	840	546.3649596092158
259800	775	484.52083098819065
260400	699	435.8203294526061
261000	642	406.1699923257471
261600	588	374.9377040923706
262200	554	354.9310295294384
262800	528	336.19853487845256
263400	511	323.70479797102377
264000	492	313.0362743629924
264600	452	288.397502822379
265200	426	274.07392865100576
265800	406	264.2235211866678
266400	397	259.97069204763574
267000	381	252.06145452572545
267600	367	243.14673015277955
268200	355	235.52860605072277
268800	350	231.57851024512507
269400	337	224.88621172062366
270000	330	220.50948064466405
270600	324	215.4477681599074
271200	314	208.00431571492877
271800	305	201.96306211518925
272400	288	191.01467243790162
273000	278	183.89840478987892
273600	261	170.33233431835032
274200	238	152.87334304024372
274800	227	145.8103660525682
275400	217	138.17423756691858
276000	201	131.2028598802934
276600	188	121.32985639227913
277200	180	116.98502427170585
277800	164	107.78366380226308
278400	152	101.32135044861752
279000	139	94.47368845800354
279600	129	88.92126288208475
280200	128	88.73550678452378
280800	126	87.48838349685255
281400	123	85.70319831166736
282000	116	79.70103520146567
282600	114	79.16928912191655
283200	113	78.16928912191655
283800	108	73.70524004216196
284400	98	66.03428114341517
285000	90	61.28279549108988
285600	84	56.70708500093871
286200	78	52.35931067794315
286800	72	49.28705702061067
287400	65	45.42972717352044
288000	62	44.33030629679845
288600	59	42.95268481653505
289200	49	36.83152155198993
289800	48	35.83152155198993
290400	47	35.70107223119578
291000	46	34.70107223119578
291600	45	33.70107223119578
292200	43	32.552840570964115
292800	41	30.93159965425087
293400	38	28.89159965425087
294000	37	27.89159965425087
294600	35	26.616006750422674
295200	34	25.616006750422674
295800	30	22.21435385786069
296400	27	20.472956395710867
297000	26	19.78757356508442
297600	22	17.36235427458009
298200	18	13.816593890096739
298800	17	12.816593890096739
299400	16	12.609451032953883
300000	16	12.609451032953883
300600	13	9.609451032953883
301200	7	7.0
301800	7	7.0
302400	7	7.0
303000	7	7.0
303600	7	7.0
304200	7	7.0
304800	7	7.0
305400	7	7.0
306000	7	7.0
306600	7	7.0
307200	7	7.0
307800	7	7.0
308400	7	7.0
309000	7	7.0
309600	7	7.0
310200	6	6.0
310800	6	6.0
311400	6	6.0
312000	6	6.0
312600	6	6.0
313200	6	6.0
313800	6	6.0
314400	6	6.0
315000	6	6.0
315600	6	6.0
316200	6	6.0
316800	6	6.0
317400	6	6.0
318000	6	6.0
318600	6	6.0
319200	6	6.0
319800	6	6.0
320400	6	6.0
321000	6	6.0
321600	6	6.0
322200	6	6.0
322800	6	6.0
323400	6	6.0
324000	5	5.0
324600	5	5.0
325200	5	5.0
325800	5	5.0
326400	5	5.0
327000	5	5.0
327600	5	5.0
328200	5	5.0
328800	5	5.0
329400	5	5.0
330000	5	5.0
330600	5	5.0
331200	5	5.0
331800	5	5.0
332400	5	5.0
333000	5	5.0
333600	5	5.0
334200	5	5.0
334800	5	5.0
335400	5	5.0
336000	5	5.0
336600	5	5.0
337200	5	5.0
337800	5	5.0
338400	5	5.0
339000	5	5.0
339600	5	5.0
340200	5	5.0
340800	5	5.0
341400	5	5.0
342000	5	5.0
342600	5	5.0
343200	5	5.0
343800	5	5.0
344400	5	5.0
345000	5	5.0
345600	5	5.0
346200	5	5.0
346800	5	5.0
347400	5	5.0
348000	5	5.0
348600	5	5.0
349200	5	5.0
349800	5	5.0
350400	5	5.0
351000	5	5.0
351600	5	5.0
352200	5	5.0
352800	5	5.0
353400	5	5.0
354000	5	5.0
354600	5	5.0
355200	5	5.0
355800	5	5.0
356400	5	5.0
357000	5	5.0
357600	5	5.0
358200	5	5.0
358800	5	5.0
359400	5	5.0
360000	5	5.0
360600	5	5.0
361200	5	5.0
361800	5	5.0
362400	5	5.0
363000	5	5.0
363600	5	5.0
364200	5	5.0
364800	5	5.0
365400	5	5.0
366000	5	5.0
366600	5	5.0
367200	5	5.0
367800	5	5.0
368400	5	5.0
369000	5	5.0
369600	5	5.0
370200	5	5.0
370800	5	5.0
371400	5	5.0
372000	5	5.0
372600	5	5.0
373200	5	5.0
373800	5	5.0
374400	5	5.0
375000	5	5.0
375600	5	5.0
376200	5	5.0
376800	4	4.0
377400	4	4.0
378000	4	4.0
378600	4	4.0
379200	4	4.0
379800	3	3.0
380400	3	3.0
381000	3	3.0
381600	3	3.0
382200	3	3.0
382800	3	3.0
383400	3	3.0
384000	3	3.0
384600	3	3.0
385200	3	3.0
385800	3	3.0
386400	3	3.0
387000	3	3.0
387600	3	3.0
388200	3	3.0
388800	3	3.0
389400	3	3.0
390000	2	2.0
390600	1	1.0
391200	1	1.0
391800	1	1.0
392400	1	1.0
393000	1	1.0
393600	1	1.0
394200	1	1.0
394800	1	1.0
395400	1	1.0
396000	1	1.0
396600	1	1.0
397200	1	1.0
397800	1	1.0
398400	1	1.0
399000	1	1.0
399600	1	1.0
400200	1	1.0
400800	1	1.0
401400	1	1.0
402000	1	1.0
402600	1	1.0
403200	1	1.0
403800	1	1.0
404400	1	1.0
405000	1	1.0
405600	1	1.0
406200	1	1.0
406800	1	1.0
407400	1	1.0
408000	1	1.0
408600	1	1.0
409200	1	1.0
409800	1	1.0
410400	1	1.0
411000	1	1.0
411600	1	1.0
412200	1	1.0
412800	1	1.0
413400	1	1.0
414000	1	1.0
414600	1	1.0
415200	1	1.0
415800	1	1.0
416400	1	1.0
417000	1	1.0
417600	1	1.0
418200	1	1.0
418800	1	1.0
419400	1	1.0
420000	1	1.0
420600	1	1.0
421200	1	1.0
421800	1	1.0
422400	1	1.0
423000	1	1.0
423600	1	1.0
424200	1	1.0
424800	1	1.0
425400	1	1.0
426000	1	1.0
426600	1	1.0
427200	1	1.0
427800	1	1.0
428400	1	1.0
