Time	Current
92400	725	617.605540591471
93000	730	617.3005537701472
93600	744	646.5292707942897
94200	762	663.5690571549895
94800	768	657.650729880339
95400	811	684.524601916219
96000	911	746.4424674150661
96600	830	701.0952355529741
97200	858	724.721526232392
97800	845	723.7034983899373
98400	761	650.6044791220116
99000	760	637.9824195339954
99600	803	679.9353161101888
100200	823	690.7575434564088
100800	803	684.6230671978108
101400	746	648.9064585342467
102000	718	627.5618089222899
102600	755	649.8962148666418
103200	780	659.5018168645663
103800	741	627.3665196048746
104400	720	608.6664533234532
105000	743	615.1118351891184
105600	713	638.5868507533091
106200	672	613.6578157120066
106800	624	580.3258885440055
107400	693	626.2518856482268
108000	672	600.3902371711524
108600	719	623.5776874535183
109200	729	628.5048126473446
109800	640	584.5592718103643
110400	630	583.3402404451152
111000	689	622.4774079328265
111600	721	634.7852062026516
112200	683	617.5124805648929
112800	674	605.5825409027709
113400	784	682.1836371263787
114000	815	743.7422924917796
114600	974	833.4097399166926
115200	1011	852.0986100483472
115800	1088	898.9209142504182
116400	1041	873.7922125022377
117000	1014	886.2435798505264
117600	997	886.0220149575333
118200	996	868.2424947824945
118800	991	865.5215681691797
119400	998	871.0253565136129
120000	953	842.4051154532292
120600	941	854.5925164317072
121200	983	873.1777741383505
121800	1005	883.6853861912507
122400	1147	965.7533337825727
123000	1322	1115.1219097676503
123600	1380	1169.8351294418533
124200	1348	1118.1400013552327
124800	1216	1035.186625630125
125400	1369	1100.1778345939751
126000	1564	1227.1413985168842
126600	1533	1174.3260803157866
127200	1552	1204.3698292628683
127800	1477	1245.5849973241236
128400	1383	1257.9204133683256
129000	1394	1236.8069935489016
129600	1327	1155.201949420968
130200	1302	1139.967061319068
130800	1395	1199.5902086865435
131400	1363	1175.9159577754738
132000	1468	1233.7668507401274
132600	1441	1273.2005773364629
133200	1407	1253.9411140891268
133800	1324	1190.0366236003686
134400	1299	1162.33085601963
135000	1301	1150.2687147878569
135600	1296	1138.5370602757525
136200	1248	1129.1726518167304
136800	1215	1094.8981167444451
137400	1245	1091.2263115888688
138000	1206	1058.9858962250719
138600	1245	1069.9815127298727
139200	1132	1000.5927788860376
139800	1079	985.2457422386258
140400	1088	981.9403993963299
141000	1014	907.0933681096334
141600	958	864.5972021626008
142200	921	827.2070880972199
142800	867	767.7481670888626
143400	876	772.247267982279
144000	871	770.8016619065056
144600	875	798.0312289573566
145200	884	785.8723134803874
145800	1046	941.518655620932
146400	1108	998.3044570903425
147000	1046	923.269491678098
147600	1078	920.3889445901083
148200	1059	897.2906317359
148800	1046	879.7096491344325
149400	1074	898.8566836356949
150000	1057	914.160459870518
150600	1036	890.1128183693817
151200	1027	885.6740139885787
151800	1007	852.4551478744562
152400	978	826.4019233241911
153000	950	809.7568939069164
153600	901	784.7472006339576
154200	938	801.135481285287
154800	913	771.4210945812798
155400	879	754.6650389879295
156000	994	840.4663437830166
156600	984	835.72230557577
157200	980	819.8087880884341
157800	1046	854.2014661400647
158400	1064	902.058400346197
159000	1008	869.5067929296328
159600	1124	960.7054104000689
160200	1176	995.3055553819026
160800	1121	929.5611723701971
161400	1200	1015.2295542892609
162000	1258	1058.0499612637705
162600	1280	1073.8437657298073
163200	1292	1116.0176608931545
163800	1187	1059.0533634898986
164400	1043	972.8006655918266
165000	950	915.487111560003
165600	841	823.1637222908206
166200	759	743.5517832868629
166800	676	668.5191087338466
167400	623	617.869532691927
168000	748	732.5718895318163
168600	762	742.9226424253711
169200	746	727.5010427629356
169800	830	806.0861095339978
170400	815	786.857105162762
171000	782	760.6276234729067
171600	856	823.6882123368956
172200	798	765.7193155122422
172800	758	732.5701727039424
173400	827	795.6009560000007
174000	820	780.704729084802
174600	842	799.8672018603587
175200	843	796.7721327887291
175800	819	766.0129776620981
176400	792	734.7992150394524
177000	818	747.6182665032446
177600	797	733.1848875132533
178200	791	716.6461006367721
178800	782	708.7955829951701
179400	789	702.7694802068266
180000	887	795.2235886068896
180600	971	862.3585649218974
181200	1004	906.7995407595406
181800	991	881.8426974154626
182400	985	867.0195612285979
183000	956	854.5164022788476
183600	971	877.800735211795
184200	941	866.4318177132425
184800	876	821.9160836984452
185400	864	800.7409770058732
186000	830	770.0179670941229
186600	804	746.664638762829
187200	798	747.7897881731099
187800	740	699.6603387584645
188400	670	651.2035079722681
189000	610	597.7801285616048
189600	564	554.7221162646997
190200	528	521.153775856054
190800	491	485.7870490969935
191400	465	459.7870490969935
192000	528	515.6122432357122
192600	620	596.6376649387342
193200	664	633.7173438796048
193800	651	618.3665301383704
194400	646	611.1115970548167
195000	636	605.8284344939796
195600	689	652.7755279385703
196200	725	673.279195012101
196800	762	690.5934944100715
197400	891	782.1475963451146
198000	847	768.7628852068353
198600	814	741.1449025545825
199200	842	744.363306401568
199800	762	689.4075227155571
200400	684	625.0251097729661
201000	639	582.5266773035025
201600	620	560.9417093974877
202200	663	601.948001870996
202800	643	579.3671268487994
203400	644	573.4076920634956
204000	602	541.4720366256274
204600	602	532.4197111106711
205200	658	581.2138903023518
205800	644	558.1346222616575
206400	748	654.6224027942746
207000	722	634.0542892610514
207600	696	605.1374220355021
208200	701	608.5232391632887
208800	743	650.432917938017
209400	729	625.2186688190317
210000	717	617.2820996473439
210600	709	617.9620525499246
211200	731	648.1141002054593
211800	661	606.4638031024203
212400	620	583.2264937425825
213000	538	517.4017129677732
213600	481	466.5811570261325
214200	448	433.0128770482228
214800	427	411.1908122477319
215400	413	395.31425929381265
216000	435	416.41136667810684
216600	473	448.6178684870908
217200	527	501.671334920619
217800	505	477.0974145265274
218400	556	520.3394061064007
219000	602	563.0609929140222
219600	573	528.4629615463048
220200	553	510.1148567225509
220800	588	541.4609036780249
221400	572	520.8640384704831
222000	559	505.3941550600926
