Time	Total	Dispersed	Machine_Used
Descirption: First-fit,greedy-recon/600s,threshold = 0.99; recon_threshold = 0.95;600	0	0	0
1200	0	0	0
1800	0	0	0
2400	0	0	0
3000	0	0	0
3600	0	0	0
4200	2	0	6
4800	7	1	38
5400	99	17	193
6000	134	17	260
6600	120	16	268
7200	112	18	273
7800	120	22	312
8400	119	22	319
9000	120	25	310
9600	142	26	321
10200	142	26	322
10800	203	38	374
11400	272	44	426
12000	205	26	387
12600	260	46	418
13200	255	36	438
13800	234	30	445
14400	392	57	541
15000	403	43	582
15600	354	43	581
16200	490	68	661
16800	468	60	676
17400	477	62	687
18000	711	106	752
18600	543	47	790
19200	462	45	752
19800	415	46	731
20400	404	50	721
21000	414	61	742
21600	533	59	777
22200	433	57	757
22800	442	64	759
23400	594	82	823
24000	592	73	835
24600	638	80	842
25200	619	69	842
25800	583	80	849
26400	660	87	894
27000	623	78	897
27600	588	74	889
28200	653	88	901
28800	674	70	894
29400	639	57	880
30000	670	71	849
30600	589	39	820
31200	544	26	791
31800	514	20	763
32400	481	18	735
33000	450	13	718
33600	425	12	691
34200	403	10	662
34800	391	9	648
35400	392	12	618
36000	380	7	595
36600	450	12	581
37200	703	17	552
37800	667	14	545
38400	643	9	541
39000	639	13	534
39600	552	10	534
40200	675	37	628
40800	621	41	659
41400	753	148	1139
42000	840	170	1244
42600	970	144	1272
43200	1374	128	1392
43800	1422	129	1482
44400	1390	114	1501
45000	1271	56	1337
45600	1104	77	1305
46200	915	57	1235
46800	763	58	1023
47400	820	98	1105
48000	704	45	1026
48600	635	29	949
49200	628	33	895
49800	629	37	868
50400	524	14	823
51000	497	12	800
51600	477	12	790
52200	468	12	785
52800	455	11	768
53400	438	10	744
54000	422	10	732
54600	405	5	694
55200	420	6	658
55800	440	10	639
56400	461	12	635
57000	470	19	661
57600	499	36	807
58200	479	28	722
58800	463	18	668
59400	522	16	654
60000	565	58	841
60600	535	48	790
61200	604	60	868
