Time	Total	Dispersed	Machine_Used
Descirption: First-fit, random-10-recon/60s,threshold = 0.99; recon_threshold = 0.95;600	0	0	0
1200	0	0	0
1800	0	0	0
2400	0	0	0
3000	0	0	0
3600	0	0	0
4200	2	0	6
4800	7	1	38
5400	99	16	193
6000	134	14	260
6600	120	14	269
7200	112	17	275
7800	120	20	312
8400	119	20	319
9000	120	23	311
9600	142	22	321
10200	142	22	322
10800	203	27	374
11400	272	41	425
12000	205	22	386
12600	260	32	419
13200	255	32	439
13800	234	30	456
14400	392	56	541
15000	403	43	584
15600	354	41	576
16200	490	67	661
16800	468	61	676
17400	477	58	689
18000	711	93	752
18600	543	43	789
19200	462	40	746
19800	415	47	729
20400	404	51	720
21000	414	66	748
21600	533	63	780
22200	433	54	761
22800	442	62	759
23400	594	78	823
24000	592	64	831
24600	638	76	842
25200	619	69	842
25800	583	76	848
26400	660	88	894
27000	623	72	897
27600	588	68	890
28200	653	81	904
28800	674	62	898
29400	639	55	884
30000	670	70	849
30600	589	35	818
31200	544	22	791
31800	514	21	768
32400	481	19	742
33000	450	16	727
33600	425	11	690
34200	403	10	667
34800	391	10	656
35400	392	14	631
36000	380	7	604
36600	450	9	592
37200	703	13	560
37800	667	12	555
38400	643	8	555
39000	639	12	548
39600	552	11	548
40200	675	20	606
40800	621	28	659
41400	753	122	1139
42000	840	135	1244
42600	970	129	1273
43200	1374	121	1392
43800	1422	114	1482
44400	1390	109	1500
45000	1271	52	1352
45600	1104	74	1306
46200	915	65	1236
46800	763	60	1008
47400	820	87	1097
48000	704	47	1018
48600	635	36	942
49200	628	48	907
49800	629	50	888
50400	524	18	830
51000	497	13	799
51600	477	12	783
52200	468	10	776
52800	455	10	761
53400	438	10	749
54000	422	9	730
54600	405	5	701
55200	420	10	669
55800	440	10	644
56400	461	16	639
57000	470	18	669
57600	499	28	803
58200	479	21	717
58800	463	19	657
59400	522	20	641
60000	565	62	840
60600	535	37	802
61200	604	53	848
61800	599	60	919
62400	565	54	869
63000	538	40	773
63600	544	47	727
64200	545	50	793
64800	607	52	794
65400	522	38	746
66000	504	41	717
66600	558	76	892
67200	641	72	890
67800	533	32	824
68400	514	28	802
69000	491	35	798
69600	488	43	790
70200	494	48	782
70800	491	49	807
71400	550	62	891
72000	561	67	935
72600	558	70	926
73200	574	62	936
73800	588	68	954
74400	575	64	922
75000	666	87	945
75600	649	84	954
76200	709	102	989
76800	731	119	1012
77400	738	124	1023
78000	762	129	1051
78600	791	126	1102
79200	849	138	1175
79800	802	124	1174
80400	844	139	1265
81000	867	167	1295
81600	873	140	1257
82200	844	113	1198
82800	804	119	1132
83400	835	123	1170
84000	748	85	1125
84600	838	111	1101
85200	771	78	1084
85800	878	131	1117
86400	988	166	1285
87000	975	125	1196
87600	951	149	1207
88200	919	136	1254
88800	821	81	1191
89400	762	78	1163
90000	747	95	1150
90600	753	85	1145
91200	792	97	1142
91800	763	95	1143
92400	725	87	1133
93000	730	86	1121
93600	744	81	1117
94200	762	80	1113
94800	768	87	1111
95400	811	92	1123
96000	911	127	1176
96600	830	107	1176
97200	858	112	1162
97800	845	94	1158
98400	761	85	1159
99000	760	91	1146
99600	803	87	1157
100200	823	102	1158
100800	803	107	1157
101400	746	76	1142
102000	718	73	1138
102600	755	75	1123
103200	780	93	1121
103800	741	94	1115
104400	720	82	1108
105000	743	94	1096
105600	713	61	1091
106200	672	55	1088
106800	624	38	1078
107400	693	81	1074
108000	672	79	1068
108600	719	83	1064
109200	729	87	1062
109800	640	50	1033
110400	630	55	1023
111000	689	75	1011
111600	721	73	1010
112200	683	65	1001
112800	674	64	996
113400	784	90	1040
114000	815	62	1074
114600	974	133	1109
115200	1011	127	1142
115800	1088	169	1280
116400	1041	120	1244
117000	1014	112	1223
117600	997	106	1218
118200	996	117	1213
118800	991	119	1209
119400	998	110	1200
120000	953	104	1197
120600	941	86	1193
121200	983	89	1184
121800	1005	98	1186
122400	1147	138	1226
123000	1322	159	1244
123600	1380	148	1242
124200	1348	178	1252
124800	1216	143	1249
125400	1369	232	1302
126000	1564	253	1385
126600	1533	275	1463
127200	1552	224	1585
127800	1477	160	1599
128400	1383	102	1617
129000	1394	149	1603
129600	1327	170	1618
130200	1302	158	1606
130800	1395	206	1706
131400	1363	197	1676
132000	1468	234	1741
132600	1441	171	1756
133200	1407	165	1717
133800	1324	125	1702
134400	1299	116	1615
135000	1301	143	1588
135600	1296	143	1585
136200	1248	114	1515
136800	1215	121	1512
137400	1245	148	1515
138000	1206	143	1531
138600	1245	171	1542
139200	1132	113	1527
139800	1079	76	1510
140400	1088	105	1489
141000	1014	92	1444
141600	958	69	1387
142200	921	81	1343
142800	867	86	1287
143400	876	94	1264
144000	871	84	1229
144600	875	60	1218
145200	884	80	1204
145800	1046	82	1190
146400	1108	94	1243
147000	1046	107	1258
147600	1078	140	1302
148200	1059	140	1306
148800	1046	134	1307
149400	1074	144	1374
150000	1057	119	1384
150600	1036	119	1373
151200	1027	132	1401
151800	1007	133	1402
152400	978	124	1406
153000	950	111	1370
153600	901	97	1353
154200	938	122	1340
154800	913	124	1352
155400	879	104	1332
156000	994	148	1388
156600	984	133	1419
157200	980	138	1407
157800	1046	157	1431
158400	1064	127	1448
159000	1008	104	1410
159600	1124	123	1392
160200	1176	143	1411
160800	1121	161	1459
161400	1200	160	1476
162000	1258	165	1514
162600	1280	172	1525
163200	1292	148	1518
163800	1187	101	1513
164400	1043	64	1496
165000	950	39	1450
165600	841	21	1407
166200	759	24	1371
166800	676	14	1277
167400	623	14	1231
168000	748	20	1194
168600	762	31	1166
169200	746	27	1138
169800	830	39	1099
170400	815	44	1079
171000	782	36	1067
171600	856	47	1057
172200	798	45	1045
172800	758	38	1030
173400	827	40	1024
174000	820	41	1015
174600	842	50	1003
175200	843	50	983
175800	819	58	977
176400	792	60	962
177000	818	72	1051
177600	797	67	1016
178200	791	72	1008
178800	782	77	1007
179400	789	91	1054
180000	887	99	1087
180600	971	105	1138
181200	1004	97	1139
181800	991	118	1149
182400	985	120	1164
183000	956	100	1154
183600	971	98	1152
184200	941	84	1146
184800	876	74	1139
185400	864	81	1126
186000	830	75	1118
186600	804	61	1099
187200	798	54	1083
187800	740	37	1061
188400	670	22	1027
189000	610	15	975
189600	564	9	942
190200	528	7	922
190800	491	6	892
191400	465	5	868
192000	528	26	851
192600	620	37	840
193200	664	30	828
193800	651	32	826
194400	646	31	814
195000	636	37	814
195600	689	51	785
196200	725	57	884
196800	762	70	929
197400	891	111	1059
198000	847	82	1052
198600	814	70	1020
199200	842	98	1033
199800	762	67	991
200400	684	64	975
201000	639	56	950
201600	620	57	925
202200	663	71	982
202800	643	69	965
203400	644	71	941
204000	602	58	959
204600	602	66	934
205200	658	68	923
205800	644	83	981
206400	748	83	1101
207000	722	78	1072
207600	696	75	1049
208200	701	75	1040
208800	743	73	1018
209400	729	89	1005
210000	717	79	997
210600	709	68	992
211200	731	60	979
211800	661	46	959
212400	620	42	951
213000	538	21	900
213600	481	11	857
214200	448	10	847
214800	427	13	832
215400	413	15	825
216000	435	15	814
216600	473	30	810
217200	527	28	805
217800	505	25	802
218400	556	28	793
219000	602	34	786
219600	573	40	776
220200	553	30	769
220800	588	35	789
221400	572	40	811
222000	559	47	806
222600	564	46	799
223200	567	56	793
223800	545	56	770
224400	461	25	762
225000	417	22	730
