Time	Total	Dispersed	Machine_Used
Descirption: First-fit, original,threshold = 0.99; recon_threshold = 0.95;600	0	0	0
1200	0	0	0
1800	0	0	0
2400	0	0	0
3000	0	0	0
3600	0	0	0
4200	2	0	6
4800	7	1	38
5400	99	20	193
6000	134	36	262
6600	120	37	271
7200	112	41	278
7800	120	49	314
8400	119	51	320
9000	120	53	313
9600	142	58	322
10200	142	57	325
10800	203	75	374
11400	272	104	430
12000	205	73	390
12600	260	96	423
13200	255	107	437
13800	234	100	457
14400	392	135	542
15000	403	144	584
15600	354	139	577
16200	490	162	661
16800	468	179	675
17400	477	178	688
18000	711	251	752
18600	543	220	798
19200	462	190	764
19800	415	185	747
20400	404	202	738
21000	414	212	740
21600	533	231	781
22200	433	211	765
22800	442	217	759
23400	594	244	824
24000	592	234	831
24600	638	254	842
25200	619	248	843
25800	583	256	850
26400	660	279	897
27000	623	278	897
27600	588	270	889
28200	653	302	904
28800	674	300	898
29400	639	287	883
30000	670	295	858
30600	589	253	837
31200	544	237	824
31800	514	226	809
32400	481	202	790
33000	450	183	780
33600	425	170	759
34200	403	156	730
34800	391	151	722
35400	392	150	702
36000	380	125	681
36600	450	140	666
37200	703	176	633
37800	667	172	627
38400	643	162	626
39000	639	163	617
39600	552	166	612
40200	675	199	610
40800	621	212	622
41400	753	323	1139
42000	840	367	1245
42600	970	389	1274
43200	1374	397	1392
43800	1422	417	1482
44400	1390	404	1512
45000	1271	351	1321
45600	1104	410	1313
46200	915	385	1246
46800	763	342	1040
47400	820	394	1093
48000	704	327	1050
48600	635	284	995
49200	628	292	952
49800	629	307	930
50400	524	241	906
51000	497	221	884
51600	477	209	869
52200	468	203	861
52800	455	193	849
53400	438	185	835
54000	422	182	822
54600	405	173	798
55200	420	184	780
55800	440	191	760
56400	461	209	747
57000	470	224	725
57600	499	242	723
58200	479	227	723
58800	463	214	710
59400	522	223	702
60000	565	295	831
60600	535	280	760
61200	604	301	826
61800	599	332	908
62400	565	308	863
63000	538	285	779
63600	544	283	759
64200	545	306	778
64800	607	312	777
65400	522	283	767
66000	504	278	761
66600	558	341	882
67200	641	352	889
67800	533	315	837
68400	514	307	819
69000	491	308	819
69600	488	316	818
70200	494	323	810
70800	491	323	808
71400	550	373	865
72000	561	378	929
72600	558	379	919
73200	574	381	932
73800	588	395	952
74400	575	383	945
75000	666	444	942
75600	649	432	946
76200	709	461	981
76800	731	482	998
77400	738	488	1011
78000	762	505	1035
78600	791	518	1093
79200	849	553	1173
79800	802	523	1160
80400	844	567	1270
81000	867	595	1299
81600	873	596	1269
82200	844	572	1201
82800	804	556	1151
83400	835	566	1169
84000	748	506	1138
84600	838	513	1120
85200	771	493	1115
85800	878	558	1104
86400	988	639	1292
87000	975	595	1189
87600	951	621	1208
88200	919	633	1261
88800	821	567	1203
89400	762	533	1181
90000	747	527	1165
90600	753	528	1159
91200	792	526	1157
91800	763	518	1155
92400	725	496	1148
93000	730	501	1141
93600	744	501	1141
94200	762	498	1138
94800	768	511	1138
95400	811	541	1137
96000	911	595	1180
96600	830	568	1180
97200	858	573	1166
97800	845	572	1161
98400	761	542	1151
99000	760	554	1157
99600	803	556	1158
100200	823	563	1152
100800	803	565	1153
101400	746	537	1146
102000	718	522	1145
102600	755	525	1141
103200	780	560	1139
103800	741	535	1139
104400	720	527	1137
105000	743	541	1128
105600	713	519	1122
106200	672	493	1122
106800	624	465	1117
107400	693	517	1113
108000	672	509	1107
108600	719	538	1105
109200	729	548	1103
109800	640	475	1090
110400	630	462	1083
111000	689	475	1075
111600	721	505	1073
112200	683	476	1073
112800	674	476	1070
113400	784	541	1069
114000	815	528	1094
114600	974	639	1117
115200	1011	679	1149
115800	1088	736	1283
116400	1041	716	1250
117000	1014	701	1236
117600	997	698	1230
118200	996	710	1229
118800	991	711	1226
119400	998	699	1221
120000	953	683	1220
120600	941	663	1219
121200	983	678	1211
121800	1005	694	1209
122400	1147	769	1228
123000	1322	836	1242
123600	1380	856	1241
124200	1348	889	1251
124800	1216	811	1249
125400	1369	902	1302
126000	1564	993	1385
126600	1533	1010	1463
127200	1552	1019	1583
127800	1477	976	1597
128400	1383	929	1627
129000	1394	947	1610
129600	1327	930	1618
130200	1302	896	1615
130800	1395	957	1704
131400	1363	950	1679
132000	1468	999	1744
132600	1441	948	1758
133200	1407	957	1721
133800	1324	907	1715
134400	1299	870	1654
135000	1301	881	1630
135600	1296	903	1613
136200	1248	852	1549
136800	1215	841	1545
137400	1245	877	1529
138000	1206	858	1540
138600	1245	885	1542
139200	1132	808	1535
139800	1079	770	1526
140400	1088	778	1521
141000	1014	719	1491
141600	958	679	1439
142200	921	649	1418
142800	867	616	1375
143400	876	601	1346
144000	871	607	1328
144600	875	578	1316
145200	884	616	1303
145800	1046	653	1293
146400	1108	667	1282
147000	1046	667	1284
147600	1078	712	1300
148200	1059	710	1311
148800	1046	711	1315
149400	1074	731	1371
150000	1057	731	1384
150600	1036	716	1384
151200	1027	703	1398
151800	1007	707	1401
152400	978	688	1396
153000	950	667	1367
153600	901	637	1355
154200	938	663	1349
154800	913	657	1350
155400	879	637	1351
156000	994	694	1379
156600	984	688	1414
157200	980	690	1405
157800	1046	730	1432
158400	1064	707	1453
159000	1008	680	1426
159600	1124	706	1410
160200	1176	729	1417
160800	1121	751	1463
161400	1200	757	1485
162000	1258	768	1519
162600	1280	783	1534
163200	1292	777	1521
163800	1187	744	1517
164400	1043	680	1511
165000	950	610	1499
165600	841	534	1486
166200	759	496	1469
166800	676	430	1431
167400	623	387	1406
168000	748	386	1376
168600	762	393	1355
169200	746	393	1338
169800	830	406	1295
170400	815	412	1262
171000	782	399	1243
171600	856	445	1239
172200	798	431	1234
172800	758	419	1230
173400	827	433	1222
174000	820	423	1206
174600	842	424	1192
175200	843	432	1176
175800	819	438	1170
176400	792	432	1156
177000	818	442	1135
177600	797	434	1126
178200	791	439	1125
178800	782	436	1124
179400	789	450	1124
180000	887	475	1124
180600	971	493	1123
181200	1004	493	1136
181800	991	515	1149
182400	985	528	1167
183000	956	534	1163
183600	971	541	1163
184200	941	536	1163
184800	876	499	1161
185400	864	494	1156
186000	830	480	1153
186600	804	456	1152
187200	798	445	1149
187800	740	419	1130
188400	670	388	1117
189000	610	347	1097
189600	564	317	1069
190200	528	294	1056
190800	491	268	1034
191400	465	253	1011
192000	528	287	984
192600	620	337	981
193200	664	346	973
193800	651	362	963
194400	646	357	955
195000	636	371	953
195600	689	386	927
196200	725	430	926
196800	762	461	925
197400	891	540	1060
198000	847	528	1060
198600	814	509	1059
199200	842	532	1043
199800	762	484	1025
200400	684	436	1012
201000	639	412	996
201600	620	401	986
202200	663	418	972
202800	643	419	1009
203400	644	417	993
204000	602	393	989
204600	602	394	977
205200	658	404	960
205800	644	421	977
206400	748	482	1085
207000	722	456	1050
207600	696	450	1036
208200	701	454	1032
208800	743	450	1025
209400	729	469	1011
210000	717	465	1000
210600	709	456	998
211200	731	444	988
211800	661	417	985
212400	620	395	972
213000	538	342	955
213600	481	300	934
214200	448	286	925
214800	427	277	919
215400	413	268	912
216000	435	272	907
216600	473	284	894
217200	527	289	886
217800	505	291	882
218400	556	322	877
219000	602	326	874
219600	573	337	874
220200	553	325	870
220800	588	329	862
221400	572	330	859
222000	559	337	859
222600	564	338	835
223200	567	349	828
223800	545	351	819
224400	461	287	817
225000	417	261	805
225600	442	274	789
226200	385	235	771
226800	344	219	758
227400	332	211	748
228000	319	193	728
228600	363	219	724
229200	360	212	717
229800	346	197	710
230400	393	231	696
231000	417	242	695
231600	395	235	690
232200	528	306	769
232800	504	312	826
233400	511	321	798
234000	525	345	832
234600	482	312	802
235200	528	322	788
235800	592	383	938
236400	555	360	920
237000	523	335	905
237600	504	328	873
238200	501	321	865
238800	529	331	865
239400	537	346	906
240000	566	365	955
240600	607	384	969
241200	627	401	1011
241800	630	412	1005
242400	660	405	998
243000	626	418	1015
243600	646	405	1012
244200	716	458	1052
244800	706	440	1046
245400	703	452	1071
246000	739	478	1131
246600	783	482	1149
247200	793	493	1168
247800	757	485	1155
248400	702	452	1154
249000	641	413	1138
249600	597	388	1125
250200	545	358	1093
250800	520	343	1074
251400	510	333	1057
252000	492	322	1047
252600	542	341	1041
253200	578	369	1039
253800	578	360	1030
254400	622	393	1028
255000	614	398	1016
255600	599	393	1009
256200	696	426	1005
256800	701	428	990
257400	748	446	1033
258000	765	468	1072
258600	754	459	1066
259200	840	499	1128
259800	775	479	1093
260400	699	438	1088
261000	642	395	1076
261600	588	358	1067
262200	554	337	1058
262800	528	323	1038
263400	511	316	1033
264000	492	302	1016
264600	452	276	980
265200	426	255	948
265800	406	239	932
266400	397	232	920
267000	381	220	881
267600	367	212	847
268200	355	205	821
268800	350	203	820
269400	337	193	799
270000	330	189	795
270600	324	187	792
271200	314	182	787
271800	305	178	776
272400	288	164	760
273000	278	159	746
273600	261	152	733
274200	238	142	699
274800	227	135	679
275400	217	130	667
276000	201	116	619
276600	188	111	569
277200	180	105	539
277800	164	92	501
278400	152	83	455
279000	139	72	393
279600	129	65	353
280200	128	64	352
280800	126	63	352
281400	123	61	348
282000	116	59	338
282600	114	57	334
283200	113	57	333
283800	108	56	327
284400	98	51	308
285000	90	45	281
285600	84	43	274
286200	78	40	262
286800	72	35	246
287400	65	30	216
288000	62	27	208
288600	59	25	193
289200	49	19	162
289800	48	19	161
290400	47	18	154
291000	46	18	153
291600	45	18	151
292200	43	17	146
292800	41	16	136
293400	38	15	132
294000	37	15	130
294600	35	14	120
295200	34	14	119
295800	30	13	114
296400	27	11	94
297000	26	10	92
297600	22	7	52
298200	18	6	44
298800	17	6	43
299400	16	5	40
300000	16	5	40
300600	13	5	36
301200	7	0	9
301800	7	0	9
302400	7	0	9
303000	7	0	9
303600	7	0	9
304200	7	0	9
304800	7	0	9
305400	7	0	9
306000	7	0	9
306600	7	0	9
307200	7	0	9
307800	7	0	9
308400	7	0	9
309000	7	0	9
309600	7	0	9
310200	6	0	7
310800	6	0	7
311400	6	0	7
312000	6	0	7
312600	6	0	7
313200	6	0	7
313800	6	0	7
314400	6	0	7
315000	6	0	7
315600	6	0	7
316200	6	0	7
316800	6	0	7
317400	6	0	7
318000	6	0	7
318600	6	0	7
319200	6	0	7
319800	6	0	7
320400	6	0	7
321000	6	0	7
321600	6	0	7
322200	6	0	7
322800	6	0	7
323400	6	0	7
324000	5	0	6
324600	5	0	6
325200	5	0	6
325800	5	0	6
326400	5	0	6
327000	5	0	6
327600	5	0	6
328200	5	0	6
328800	5	0	6
329400	5	0	6
330000	5	0	6
330600	5	0	6
331200	5	0	6
331800	5	0	6
332400	5	0	6
333000	5	0	6
333600	5	0	6
334200	5	0	6
334800	5	0	6
335400	5	0	6
336000	5	0	6
336600	5	0	6
337200	5	0	6
337800	5	0	6
338400	5	0	6
339000	5	0	6
339600	5	0	6
340200	5	0	6
340800	5	0	6
341400	5	0	6
342000	5	0	6
342600	5	0	6
343200	5	0	6
343800	5	0	6
344400	5	0	6
345000	5	0	6
345600	5	0	6
346200	5	0	6
346800	5	0	6
347400	5	0	6
348000	5	0	6
348600	5	0	6
349200	5	0	6
349800	5	0	6
350400	5	0	6
351000	5	0	6
351600	5	0	6
352200	5	0	6
352800	5	0	6
353400	5	0	6
354000	5	0	6
354600	5	0	6
355200	5	0	6
355800	5	0	6
356400	5	0	6
357000	5	0	6
357600	5	0	6
358200	5	0	6
358800	5	0	6
359400	5	0	6
360000	5	0	6
360600	5	0	6
361200	5	0	6
361800	5	0	6
362400	5	0	6
363000	5	0	6
363600	5	0	6
364200	5	0	6
364800	5	0	6
365400	5	0	6
366000	5	0	6
366600	5	0	6
367200	5	0	6
367800	5	0	6
368400	5	0	6
369000	5	0	6
369600	5	0	6
370200	5	0	6
370800	5	0	6
371400	5	0	6
372000	5	0	6
372600	5	0	6
373200	5	0	6
373800	5	0	6
374400	5	0	6
375000	5	0	6
375600	5	0	6
376200	5	0	6
376800	4	0	5
377400	4	0	5
378000	4	0	5
378600	4	0	5
379200	4	0	5
379800	3	0	4
380400	3	0	4
381000	3	0	4
381600	3	0	4
382200	3	0	4
382800	3	0	4
383400	3	0	4
384000	3	0	4
384600	3	0	4
385200	3	0	4
385800	3	0	4
386400	3	0	4
387000	3	0	4
387600	3	0	4
388200	3	0	4
388800	3	0	4
389400	3	0	4
390000	2	0	2
390600	1	0	1
391200	1	0	1
391800	1	0	1
392400	1	0	1
393000	1	0	1
393600	1	0	1
394200	1	0	1
394800	1	0	1
395400	1	0	1
396000	1	0	1
396600	1	0	1
397200	1	0	1
397800	1	0	1
398400	1	0	1
399000	1	0	1
399600	1	0	1
400200	1	0	1
400800	1	0	1
401400	1	0	1
402000	1	0	1
402600	1	0	1
403200	1	0	1
403800	1	0	1
404400	1	0	1
405000	1	0	1
405600	1	0	1
406200	1	0	1
406800	1	0	1
407400	1	0	1
408000	1	0	1
408600	1	0	1
409200	1	0	1
409800	1	0	1
410400	1	0	1
411000	1	0	1
411600	1	0	1
412200	1	0	1
412800	1	0	1
413400	1	0	1
414000	1	0	1
414600	1	0	1
415200	1	0	1
415800	1	0	1
416400	1	0	1
417000	1	0	1
417600	1	0	1
418200	1	0	1
418800	1	0	1
419400	1	0	1
420000	1	0	1
420600	1	0	1
421200	1	0	1
421800	1	0	1
422400	1	0	1
423000	1	0	1
423600	1	0	1
424200	1	0	1
424800	1	0	1
425400	1	0	1
426000	1	0	1
426600	1	0	1
427200	1	0	1
427800	1	0	1
428400	1	0	1
