Time	Total	Dispersed	Machine_Used
Descirption: First-fit, recon/60s,threshold = 0.99; recon_threshold = 0.95;600	0	0	0
1200	0	0	0
1800	0	0	0
2400	0	0	0
3000	0	0	0
3600	0	0	0
4200	2	0	6
4800	7	1	38
5400	99	17	193
6000	134	17	260
6600	120	16	268
7200	112	18	273
7800	120	22	312
8400	119	22	319
9000	120	25	310
9600	142	26	321
10200	142	26	322
10800	203	37	374
11400	272	50	429
12000	205	24	389
12600	260	39	422
13200	255	34	435
13800	234	29	444
14400	392	55	541
15000	403	43	584
15600	354	38	578
16200	490	70	661
16800	468	60	676
17400	477	58	687
18000	711	104	752
18600	543	43	793
19200	462	37	750
19800	415	41	729
20400	404	50	719
21000	414	61	743
21600	533	55	778
22200	433	52	760
22800	442	63	761
23400	594	80	823
24000	592	63	835
24600	638	74	842
25200	619	61	840
25800	583	70	849
26400	660	81	894
27000	623	70	898
27600	588	60	890
28200	653	76	905
28800	674	58	895
29400	639	46	885
30000	670	58	849
30600	589	37	824
31200	544	21	798
31800	514	19	776
32400	481	14	753
33000	450	7	729
33600	425	6	698
34200	403	6	665
34800	391	6	660
35400	392	9	636
36000	380	5	611
36600	450	7	596
37200	703	11	565
37800	667	9	559
38400	643	5	555
39000	639	8	549
39600	552	10	546
40200	675	32	635
40800	621	39	668
41400	753	129	1139
42000	840	152	1244
42600	970	138	1272
43200	1374	138	1392
43800	1422	131	1482
44400	1390	114	1503
45000	1271	61	1341
45600	1104	92	1309
46200	915	52	1213
46800	763	49	1006
47400	820	100	1105
48000	704	43	1019
48600	635	41	951
49200	628	42	899
49800	629	40	892
50400	524	12	840
51000	497	5	809
51600	477	5	788
52200	468	5	773
52800	455	5	752
53400	438	5	745
54000	422	3	729
54600	405	1	684
55200	420	6	655
55800	440	11	633
56400	461	13	643
57000	470	18	677
57600	499	34	815
58200	479	20	724
58800	463	14	685
59400	522	16	674
60000	565	54	851
60600	535	35	792
61200	604	59	862
61800	599	74	911
62400	565	59	859
63000	538	50	794
63600	544	47	742
64200	545	58	794
64800	607	59	805
65400	522	38	766
66000	504	50	753
66600	558	92	896
67200	641	76	884
67800	533	39	849
68400	514	32	830
69000	491	38	825
69600	488	42	801
70200	494	46	796
70800	491	48	817
71400	550	69	890
72000	561	75	937
72600	558	79	926
73200	574	64	933
73800	588	70	949
74400	575	63	929
75000	666	107	948
75600	649	86	954
76200	709	113	995
76800	731	123	1017
77400	738	113	1029
78000	762	140	1054
78600	791	128	1107
79200	849	151	1173
79800	802	141	1170
80400	844	173	1262
81000	867	193	1293
81600	873	141	1246
82200	844	107	1200
82800	804	112	1127
83400	835	115	1168
84000	748	83	1125
84600	838	119	1105
85200	771	87	1094
85800	878	150	1117
86400	988	187	1291
87000	975	125	1210
87600	951	166	1204
88200	919	151	1251
88800	821	98	1205
89400	762	92	1175
90000	747	100	1159
90600	753	100	1154
91200	792	112	1151
91800	763	99	1143
92400	725	89	1138
93000	730	97	1131
93600	744	88	1128
94200	762	91	1121
94800	768	104	1118
95400	811	113	1129
96000	911	149	1181
96600	830	126	1182
97200	858	121	1170
97800	845	108	1159
98400	761	99	1159
99000	760	104	1164
99600	803	113	1164
100200	823	115	1160
100800	803	122	1161
101400	746	101	1146
102000	718	86	1141
102600	755	100	1124
103200	780	114	1119
103800	741	110	1117
104400	720	117	1108
105000	743	127	1098
105600	713	73	1084
106200	672	58	1081
106800	624	50	1069
107400	693	99	1060
108000	672	107	1056
108600	719	112	1053
109200	729	125	1046
109800	640	56	1028
110400	630	58	1024
111000	689	72	1004
111600	721	89	995
112200	683	83	991
112800	674	82	986
113400	784	106	1046
114000	815	77	1085
114600	974	145	1121
115200	1011	142	1155
115800	1088	199	1282
116400	1041	142	1250
117000	1014	124	1232
117600	997	119	1218
118200	996	131	1216
118800	991	128	1212
119400	998	126	1208
120000	953	117	1206
120600	941	100	1204
121200	983	119	1193
121800	1005	122	1187
122400	1147	168	1229
123000	1322	186	1247
123600	1380	178	1242
124200	1348	195	1256
124800	1216	176	1249
125400	1369	279	1302
126000	1564	336	1385
126600	1533	368	1463
127200	1552	283	1584
127800	1477	198	1595
128400	1383	121	1620
129000	1394	162	1595
129600	1327	188	1620
130200	1302	178	1613
130800	1395	226	1703
131400	1363	206	1677
132000	1468	255	1742
132600	1441	184	1741
133200	1407	174	1703
133800	1324	124	1686
134400	1299	130	1614
135000	1301	142	1590
135600	1296	146	1571
136200	1248	125	1513
136800	1215	119	1507
137400	1245	154	1519
138000	1206	149	1541
138600	1245	185	1544
139200	1132	113	1518
139800	1079	81	1499
140400	1088	102	1486
141000	1014	90	1438
141600	958	82	1394
142200	921	89	1350
142800	867	92	1295
143400	876	100	1279
144000	871	90	1247
144600	875	65	1231
145200	884	92	1215
145800	1046	115	1207
146400	1108	116	1239
147000	1046	111	1250
147600	1078	148	1301
148200	1059	147	1307
148800	1046	136	1310
149400	1074	142	1375
150000	1057	137	1384
150600	1036	135	1379
151200	1027	134	1380
151800	1007	137	1405
152400	978	130	1399
153000	950	113	1357
153600	901	94	1339
154200	938	123	1331
154800	913	123	1349
155400	879	102	1335
156000	994	152	1389
156600	984	130	1416
157200	980	140	1408
157800	1046	176	1429
158400	1064	141	1446
159000	1008	112	1401
159600	1124	145	1380
160200	1176	168	1415
160800	1121	177	1454
161400	1200	167	1477
162000	1258	174	1514
162600	1280	180	1525
163200	1292	171	1514
163800	1187	133	1510
164400	1043	70	1496
165000	950	35	1461
165600	841	22	1384
166200	759	20	1335
166800	676	14	1255
167400	623	14	1225
168000	748	19	1194
168600	762	30	1159
169200	746	27	1132
169800	830	35	1093
170400	815	36	1064
171000	782	32	1054
171600	856	44	1045
172200	798	41	1035
172800	758	35	1028
173400	827	35	1014
174000	820	42	993
174600	842	50	978
175200	843	52	959
175800	819	56	948
176400	792	59	938
177000	818	86	1061
177600	797	72	1030
178200	791	78	1025
178800	782	81	1034
179400	789	89	1076
180000	887	101	1090
180600	971	114	1138
181200	1004	101	1140
181800	991	121	1147
182400	985	124	1156
183000	956	100	1156
183600	971	92	1150
184200	941	80	1132
184800	876	50	1122
185400	864	67	1113
186000	830	63	1110
186600	804	52	1093
187200	798	50	1081
187800	740	37	1051
188400	670	31	1024
189000	610	24	991
189600	564	22	963
190200	528	17	935
190800	491	14	897
191400	465	13	871
192000	528	24	840
192600	620	42	833
193200	664	46	827
193800	651	39	824
194400	646	42	802
195000	636	40	800
195600	689	44	785
196200	725	72	911
196800	762	95	942
197400	891	143	1051
198000	847	99	1039
198600	814	80	1022
199200	842	108	1034
199800	762	76	1005
200400	684	75	996
201000	639	57	968
201600	620	57	945
202200	663	66	983
202800	643	73	979
203400	644	75	964
204000	602	66	970
204600	602	73	956
205200	658	74	943
205800	644	87	981
206400	748	94	1100
207000	722	81	1071
207600	696	77	1054
208200	701	83	1047
208800	743	82	1030
209400	729	97	1009
210000	717	86	997
210600	709	74	988
211200	731	68	972
211800	661	48	965
212400	620	36	952
213000	538	14	916
213600	481	13	877
214200	448	12	853
214800	427	17	832
215400	413	15	820
216000	435	20	809
216600	473	29	800
217200	527	27	794
217800	505	21	791
218400	556	24	782
219000	602	31	773
219600	573	33	763
220200	553	33	756
220800	588	41	812
221400	572	43	840
222000	559	43	829
222600	564	45	814
223200	567	54	809
223800	545	55	794
224400	461	18	771
225000	417	12	745
225600	442	35	725
226200	385	17	715
226800	344	17	690
227400	332	14	683
228000	319	10	647
228600	363	19	634
229200	360	18	620
229800	346	11	614
230400	393	23	606
231000	417	25	604
231600	395	21	599
232200	528	74	802
232800	504	63	821
233400	511	66	801
234000	525	65	826
234600	482	40	780
235200	528	48	759
235800	592	102	936
236400	555	89	925
237000	523	50	900
237600	504	49	872
238200	501	52	867
238800	529	62	862
239400	537	76	902
240000	566	86	957
240600	607	89	976
241200	627	90	1017
241800	630	100	1016
242400	660	79	1002
243000	626	98	1023
243600	646	97	1010
244200	716	127	1057
244800	706	105	1052
245400	703	122	1074
246000	739	139	1128
246600	783	135	1143
247200	793	131	1163
247800	757	103	1149
248400	702	65	1139
249000	641	38	1110
249600	597	31	1078
250200	545	22	1046
250800	520	16	1016
251400	510	15	1006
252000	492	15	983
252600	542	30	966
253200	578	42	958
253800	578	33	947
254400	622	48	937
255000	614	45	921
255600	599	41	914
256200	696	67	1011
256800	701	74	1002
257400	748	82	1041
258000	765	98	1071
258600	754	90	1067
259200	840	106	1139
259800	775	72	1109
260400	699	48	1098
261000	642	36	1077
261600	588	22	1047
262200	554	18	1019
262800	528	11	994
263400	511	11	973
264000	492	11	958
264600	452	9	906
265200	426	8	860
265800	406	7	829
266400	397	7	816
267000	381	5	777
267600	367	2	754
268200	355	1	731
268800	350	1	730
269400	337	1	708
270000	330	1	694
270600	324	1	686
271200	314	1	677
271800	305	0	664
272400	288	0	647
273000	278	0	634
273600	261	0	618
274200	238	0	579
274800	227	0	560
275400	217	0	547
276000	201	0	516
276600	188	0	489
277200	180	0	460
277800	164	0	418
278400	152	0	385
279000	139	0	339
279600	129	0	320
280200	128	0	320
280800	126	0	317
281400	123	0	314
282000	116	0	305
282600	114	0	300
283200	113	0	299
283800	108	0	292
284400	98	0	266
285000	90	0	243
285600	84	0	236
286200	78	0	222
286800	72	0	206
287400	65	0	188
288000	62	0	180
288600	59	0	167
289200	49	0	143
289800	48	0	142
290400	47	0	137
291000	46	0	136
291600	45	0	134
292200	43	0	128
292800	41	0	121
293400	38	0	117
294000	37	0	114
294600	35	0	103
295200	34	0	102
295800	30	0	92
296400	27	0	79
297000	26	0	74
297600	22	0	46
298200	18	0	40
298800	17	0	40
299400	16	0	38
300000	16	0	38
300600	13	0	31
301200	7	0	10
301800	7	0	10
302400	7	0	10
303000	7	0	10
303600	7	0	10
304200	7	0	10
304800	7	0	10
305400	7	0	10
306000	7	0	10
306600	7	0	10
307200	7	0	10
307800	7	0	10
308400	7	0	10
309000	7	0	10
309600	7	0	10
310200	6	0	8
310800	6	0	8
311400	6	0	8
312000	6	0	8
312600	6	0	8
313200	6	0	8
313800	6	0	8
314400	6	0	8
315000	6	0	8
315600	6	0	8
316200	6	0	8
316800	6	0	8
317400	6	0	8
318000	6	0	8
318600	6	0	8
319200	6	0	8
319800	6	0	8
320400	6	0	8
321000	6	0	8
321600	6	0	8
322200	6	0	8
322800	6	0	8
323400	6	0	8
324000	5	0	7
324600	5	0	7
325200	5	0	7
325800	5	0	7
326400	5	0	7
327000	5	0	7
327600	5	0	7
328200	5	0	7
328800	5	0	7
329400	5	0	7
330000	5	0	7
330600	5	0	7
331200	5	0	7
331800	5	0	7
332400	5	0	7
333000	5	0	7
333600	5	0	7
334200	5	0	7
334800	5	0	7
335400	5	0	7
336000	5	0	7
336600	5	0	7
337200	5	0	7
337800	5	0	7
338400	5	0	7
339000	5	0	7
339600	5	0	7
340200	5	0	7
340800	5	0	7
341400	5	0	7
342000	5	0	7
342600	5	0	7
343200	5	0	7
343800	5	0	7
344400	5	0	7
345000	5	0	7
345600	5	0	7
346200	5	0	7
346800	5	0	7
347400	5	0	7
348000	5	0	7
348600	5	0	7
349200	5	0	7
349800	5	0	7
350400	5	0	7
351000	5	0	7
351600	5	0	7
352200	5	0	7
352800	5	0	7
353400	5	0	7
354000	5	0	7
354600	5	0	7
355200	5	0	7
355800	5	0	7
356400	5	0	7
357000	5	0	7
357600	5	0	7
358200	5	0	7
358800	5	0	7
359400	5	0	7
360000	5	0	7
360600	5	0	7
361200	5	0	7
361800	5	0	7
362400	5	0	7
363000	5	0	7
363600	5	0	7
364200	5	0	7
364800	5	0	7
365400	5	0	7
366000	5	0	7
366600	5	0	7
367200	5	0	7
367800	5	0	7
368400	5	0	7
369000	5	0	7
369600	5	0	7
370200	5	0	7
370800	5	0	7
371400	5	0	7
372000	5	0	7
372600	5	0	7
373200	5	0	7
373800	5	0	7
374400	5	0	7
375000	5	0	7
375600	5	0	7
376200	5	0	7
376800	4	0	6
377400	4	0	6
378000	4	0	6
378600	4	0	6
379200	4	0	6
379800	3	0	4
380400	3	0	4
381000	3	0	4
381600	3	0	4
382200	3	0	4
382800	3	0	4
383400	3	0	4
384000	3	0	4
384600	3	0	4
385200	3	0	4
385800	3	0	4
386400	3	0	4
387000	3	0	4
387600	3	0	4
388200	3	0	4
388800	3	0	4
389400	3	0	4
390000	2	0	2
390600	1	0	1
391200	1	0	1
391800	1	0	1
392400	1	0	1
393000	1	0	1
393600	1	0	1
394200	1	0	1
394800	1	0	1
395400	1	0	1
396000	1	0	1
396600	1	0	1
397200	1	0	1
397800	1	0	1
398400	1	0	1
399000	1	0	1
399600	1	0	1
400200	1	0	1
400800	1	0	1
401400	1	0	1
402000	1	0	1
402600	1	0	1
403200	1	0	1
403800	1	0	1
404400	1	0	1
405000	1	0	1
405600	1	0	1
406200	1	0	1
406800	1	0	1
407400	1	0	1
408000	1	0	1
408600	1	0	1
409200	1	0	1
409800	1	0	1
410400	1	0	1
411000	1	0	1
411600	1	0	1
412200	1	0	1
412800	1	0	1
413400	1	0	1
414000	1	0	1
414600	1	0	1
415200	1	0	1
415800	1	0	1
416400	1	0	1
417000	1	0	1
417600	1	0	1
418200	1	0	1
418800	1	0	1
419400	1	0	1
420000	1	0	1
420600	1	0	1
421200	1	0	1
421800	1	0	1
422400	1	0	1
423000	1	0	1
423600	1	0	1
424200	1	0	1
424800	1	0	1
425400	1	0	1
426000	1	0	1
426600	1	0	1
427200	1	0	1
427800	1	0	1
428400	1	0	1
